Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0538 Nordre Land;538;Nordre Land;2968;160;2808;74,7;62,7;75,6
0540 Sør-Aurdal;540;Sør-Aurdal;1394;90;1304;78,1;66,2;79,1
0541 Etnedal;541;Etnedal;589;44;545;71,6;31;80
0542 Nord-Aurdal;542;Nord-Aurdal;3070;291;2779;78,4;67,4;79,8
0543 Vestre Slidre;543;Vestre Slidre;1056;67;989;80,3;58,8;82,3
0544 Øystre Slidre;544;Øystre Slidre;1620;160;1460;83,7;76,6;84,6
0545 Vang;545;Vang;773;98;675;79,7;59,8;83,7
0602 Drammen;602;Drammen;30313;6707;23606;73,9;61,6;78,3
0604 Kongsberg;604;Kongsberg;13017;1974;11043;79,8;71,8;81,4
0605 Ringerike;605;Ringerike;13789;1588;12201;75;66,3;76,3
0612 Hole;612;Hole;3133;482;2651;77,6;71,2;78,9
0615 Flå;615;Flå;468;43;425;77;63,2;78,7
0616 Nes (Busk.);616;Nes (Busk.);1616;170;1446;78,6;58,6;81,9
0617 Gol;617;Gol;2255;394;1861;81,7;76,5;82,9
0618 Hemsedal;618;Hemsedal;1161;255;906;81,7;72,2;84,8
0619 Ål;619;Ål;2269;230;2039;82,9;75,2;83,9
0620 Hol;620;Hol;2306;405;1901;83;76,9;84,4
0621 Sigdal;621;Sigdal;1714;103;1611;83,1;73;83,8
0622 Krødsherad;622;Krødsherad;1103;155;948;76,8;76;76,9
0623 Modum;623;Modum;6246;539;5707;74,9;64;76,1
0624 Øvre Eiker;624;Øvre Eiker;8496;1096;7400;77;71,8;77,9
0625 Nedre Eiker;625;Nedre Eiker;11283;1904;9379;77,4;70,2;79,1
0626 Lier;626;Lier;12122;2185;9937;79,3;70,8;81,4
0627 Røyken;627;Røyken;10223;1447;8776;81,5;73,9;83
0628 Hurum;628;Hurum;4262;519;3743;76,1;70,7;77
0631 Flesberg;631;Flesberg;1294;106;1188;81,9;68,8;83,3
0632 Rollag;632;Rollag;639;42;597;81,9;65,6;83,4
0633 Nore og Uvdal;633;Nore og Uvdal;1238;111;1127;84,1;74;85,2
0701 Horten;701;Horten;11514;1482;10032;71,3;62,2;72,9
0702 Holmestrand;702;Holmestrand;4729;461;4268;73,8;67,8;74,6
0704 Tønsberg;704;Tønsberg;19507;2514;16993;76;68,1;77,3
0706 Sandefjord;706;Sandefjord;19622;2804;16818;72,8;64,2;74,5
