kommunenr-kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0403 Hamar;403;Hamar;36636335,00;29591500,00;5741500,00;23850000,00;3342829,00;0,00;2948106,00;192900,00;0,00;561000,00
0412 Ringsaker;412;Ringsaker;18075560,00;15951000,00;3924500,00;12026500,00;0,00;0,00;1564360,00;87200,00;143000,00;330000,00
0415 Løten;415;Løten;8155110,00;6885000,00;501500,00;6383500,00;923470,00;0,00;126840,00;21800,00;0,00;198000,00
0417 Stange;417;Stange;25485808,00;21303000,00;5058500,00;16244500,00;2593848,00;0,00;1141560,00;128600,00;0,00;318800,00
0418 Nord-Odal;418;Nord-Odal;1190340,00;1041500,00;210000,00;831500,00;0,00;0,00;126840,00;0,00;0,00;22000,00
0419 Sør-Odal;419;Sør-Odal;2835800,00;2814000,00;868000,00;1946000,00;0,00;0,00;0,00;21800,00;0,00;0,00
0420 Eidskog;420;Eidskog;5009500,00;4505500,00;345000,00;4160500,00;460000,00;0,00;0,00;0,00;0,00;44000,00
0423 Grue;423;Grue;6025340,00;5176500,00;1516500,00;3660000,00;0,00;0,00;761040,00;21800,00;0,00;66000,00
0425 Åsnes;425;Åsnes;6558600,00;6372000,00;1138000,00;5234000,00;0,00;0,00;0,00;43600,00;0,00;143000,00
0426 Våler (Hedm.);426;Våler (Hedm.);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0427 Elverum;427;Elverum;25990670,00;21730500,00;3761500,00;17969000,00;410920,00;0,00;3223850,00;174400,00;0,00;451000,00
0428 Trysil;428;Trysil;8890008,00;8188000,00;1791500,00;6396500,00;0,00;0,00;548408,00;43600,00;0,00;110000,00
0429 Åmot;429;Åmot;1127360,00;620000,00;0,00;620000,00;0,00;0,00;507360,00;0,00;0,00;0,00
0430 Stor-Elvdal;430;Stor-Elvdal;3871940,00;3602500,00;696500,00;2906000,00;0,00;0,00;126840,00;43600,00;0,00;99000,00
0432 Rendalen;432;Rendalen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0434 Engerdal;434;Engerdal;3350661,00;2410500,00;0,00;2410500,00;896161,00;0,00;0,00;0,00;0,00;44000,00
0436 Tolga;436;Tolga;3236800,00;3182000,00;711500,00;2470500,00;0,00;0,00;0,00;21800,00;0,00;33000,00
0437 Tynset;437;Tynset;10284179,00;7725500,00;1479000,00;6246500,00;599129,00;0,00;1849750,00;21800,00;0,00;88000,00
0438 Alvdal;438;Alvdal;3133500,00;3078500,00;0,00;3078500,00;0,00;0,00;0,00;0,00;0,00;55000,00
0439 Folldal;439;Folldal;1442000,00;1398000,00;0,00;1398000,00;0,00;0,00;0,00;0,00;0,00;44000,00
0441 Os (Hedm.);441;Os (Hedm.);3581490,00;2880000,00;0,00;2880000,00;0,00;0,00;602490,00;0,00;0,00;99000,00
0501 Lillehammer;501;Lillehammer;56745957,00;37016500,00;14674500,00;22342000,00;16513907,00;0,00;2166850,00;170000,00;138700,00;740000,00
0502 Gjøvik;502;Gjøvik;54439067,00;35021000,00;11380500,00;23640500,00;15204763,00;0,00;3245704,00;129700,00;138700,00;699200,00
0511 Dovre;511;Dovre;3130300,00;3086500,00;1316000,00;1770500,00;0,00;0,00;0,00;21800,00;0,00;22000,00
0512 Lesja;512;Lesja;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0513 Skjåk;513;Skjåk;3739200,00;3643500,00;1041500,00;2602000,00;0,00;0,00;0,00;63200,00;0,00;32500,00
0514 Lom;514;Lom;4073000,00;3996000,00;156500,00;3839500,00;0,00;0,00;0,00;0,00;0,00;77000,00
0515 Vågå;515;Vågå;5392200,00;5294500,00;863000,00;4431500,00;0,00;0,00;0,00;20700,00;0,00;77000,00
0516 Nord-Fron;516;Nord-Fron;7465080,00;6391000,00;3009500,00;3381500,00;0,00;0,00;887880,00;87200,00;0,00;99000,00
0517 Sel;517;Sel;6756488,00;5167000,00;2471000,00;2696000,00;0,00;0,00;1436288,00;87200,00;0,00;66000,00
0519 Sør-Fron;519;Sør-Fron;1074000,00;1063000,00;210000,00;853000,00;0,00;0,00;0,00;0,00;0,00;11000,00
0520 Ringebu;520;Ringebu;3638500,00;3528500,00;1457500,00;2071000,00;0,00;0,00;0,00;0,00;0,00;110000,00
0521 Øyer;521;Øyer;11311890,00;10076500,00;2865500,00;7211000,00;800100,00;0,00;73990,00;21800,00;143000,00;196500,00
0522 Gausdal;522;Gausdal;2284500,00;2262500,00;360000,00;1902500,00;0,00;0,00;0,00;0,00;0,00;22000,00
0528 Østre Toten;528;Østre Toten;10030400,00;9545000,00;2250500,00;7294500,00;155400,00;0,00;0,00;0,00;143000,00;187000,00
0529 Vestre Toten;529;Vestre Toten;13584840,00;13052500,00;2576000,00;10476500,00;0,00;0,00;126840,00;42500,00;143000,00;220000,00
0532 Jevnaker;532;Jevnaker;2795840,00;2636000,00;630000,00;2006000,00;0,00;0,00;126840,00;0,00;0,00;33000,00
0533 Lunner;533;Lunner;18755520,00;17402000,00;6138000,00;11264000,00;0,00;0,00;1014720,00;64300,00;0,00;274500,00
0534 Gran;534;Gran;28023873,00;24959900,00;7021000,00;17938900,00;1057343,00;0,00;1469230,00;174400,00;0,00;363000,00
0536 Søndre Land;536;Søndre Land;3053800,00;3010000,00;1320000,00;1690000,00;0,00;0,00;0,00;21800,00;0,00;22000,00
0538 Nordre Land;538;Nordre Land;13202552,00;10224000,00;3998500,00;6225500,00;996706,00;0,00;1806546,00;21800,00;0,00;153500,00
0540 Sør-Aurdal;540;Sør-Aurdal;4219000,00;3702000,00;1409000,00;2293000,00;0,00;0,00;0,00;0,00;429000,00;88000,00
0541 Etnedal;541;Etnedal;2750340,00;2612500,00;1020000,00;1592500,00;0,00;0,00;126840,00;0,00;0,00;11000,00
0542 Nord-Aurdal;542;Nord-Aurdal;7107100,00;7019500,00;2668000,00;4351500,00;0,00;0,00;0,00;43600,00;0,00;44000,00
0543 Vestre Slidre;543;Vestre Slidre;4743860,00;4159500,00;0,00;4159500,00;0,00;0,00;507360,00;0,00;0,00;77000,00
0544 Øystre Slidre;544;Øystre Slidre;1760840,00;1623000,00;555000,00;1068000,00;0,00;0,00;126840,00;0,00;0,00;11000,00
0545 Vang;545;Vang;2388600,00;2279000,00;426500,00;1852500,00;0,00;0,00;0,00;43600,00;0,00;66000,00
0602 Drammen;602;Drammen;81845314,00;66895700,00;22583500,00;44312200,00;5859900,00;0,00;6773214,00;558000,00;572000,00;1186500,00
0604 Kongsberg;604;Kongsberg;23683144,00;20955000,00;5849000,00;15106000,00;597694,00;0,00;1638350,00;152600,00;0,00;339500,00
