kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
0619 Ål;619;Ål;10;100;7;70;14;140,00
0620 Hol;620;Hol;5;100;1;20;14;280,00
0621 Sigdal;621;Sigdal;5;100;8;160;10;200,00
0622 Krødsherad;622;Krødsherad;5;100;0;0;10;200,00
0623 Modum;623;Modum;20;100;20;100;20;100,00
0624 Øvre Eiker;624;Øvre Eiker;20;100;22;110;26;130,00
0625 Nedre Eiker;625;Nedre Eiker;15;100;21;140;26;173,33
0626 Lier;626;Lier;20;100;20;100;26;130,00
0627 Røyken;627;Røyken;20;100;13;65;26;130,00
0628 Hurum;628;Hurum;20;100;20;100;26;130,00
0631 Flesberg;631;Flesberg;10;100;16;160;14;140,00
0632 Rollag;632;Rollag;8;100;7;87,5;20;250,00
0633 Nore og Uvdal;633;Nore og Uvdal;6;100;7;116,67;14;233,33
0701 Horten;701;Horten;45;100;39;86,67;35;77,78
0702 Holmestrand;702;Holmestrand;8;100;7;87,5;15;187,50
0704 Tønsberg;704;Tønsberg;30;100;22;73,33;45;150,00
0706 Sandefjord;706;Sandefjord;30;100;30;100;45;150,00
0709 Larvik;709;Larvik;40;100;30;75;45;112,50
0711 Svelvik;711;Svelvik;5;100;0;0;15;300,00
0713 Sande (Vestf.);713;Sande (Vestf.);.;.;8;.;15;.
0714 Hof;714;Hof;5;100;3;60;15;300,00
0716 Re;716;Re (f.o.m. 2002);10;100;10;100;20;200,00
0719 Andebu;719;Andebu;0;.;3;.;15;.
0720 Stokke;720;Stokke;20;100;17;85;20;100,00
0722 Nøtterøy;722;Nøtterøy;20;100;15;75;25;125,00
0723 Tjøme;723;Tjøme;8;100;7;87,5;15;187,50
0728 Lardal;728;Lardal;5;100;1;20;15;300,00
0805 Porsgrunn;805;Porsgrunn;55;100;47;85,45;75;136,36
0806 Skien;806;Skien;85;100;62;72,94;110;129,41
0807 Notodden;807;Notodden;32;100;29;90,63;40;125,00
0811 Siljan;811;Siljan;10;100;11;110;15;150,00
0814 Bamble;814;Bamble;38;100;41;107,89;45;118,42
0815 Kragerø;815;Kragerø;35;100;40;114,29;45;128,57
0817 Drangedal;817;Drangedal;5;100;12;240;10;200,00
0819 Nome;819;Nome;10;100;10;100;15;150,00
0821 Bø (Telemark);821;Bø (Telem.);14;100;17;121,43;20;142,86
0822 Sauherad;822;Sauherad;15;100;14;93,33;20;133,33
0826 Tinn;826;Tinn;10;100;22;220;20;200,00
0827 Hjartdal;827;Hjartdal;8;100;7;87,5;10;125,00
0828 Seljord;828;Seljord;10;100;11;110;10;100,00
0829 Kviteseid;829;Kviteseid;.;.;0;.;0;.
0830 Nissedal;830;Nissedal;.;.;0;.;0;.
0831 Fyresdal;831;Fyresdal;10;100;5;50;10;100,00
0833 Tokke;833;Tokke;.;.;0;.;0;.
0834 Vinje;834;Vinje;10;100;0;0;10;100,00
0901 Risør;901;Risør;25;100;30;120;25;100,00
0904 Grimstad;904;Grimstad;30;100;37;123,33;40;133,33
0906 Arendal;906;Arendal;51;100;53;103,92;95;186,27
0911 Gjerstad;911;Gjerstad;10;100;14;140;15;150,00
0912 Vegårshei;912;Vegårshei;0;.;0;.;15;.
0914 Tvedestrand;914;Tvedestrand;6;100;6;100;25;416,67
0919 Froland;919;Froland;3;100;0;0;15;500,00
0926 Lillesand;926;Lillesand;20;100;11;55;30;150,00
0928 Birkenes;928;Birkenes;8;100;10;125;20;250,00
0929 Åmli;929;Åmli;10;100;5;50;15;150,00
0935 Iveland;935;Iveland;10;100;5;50;10;100,00
0937 Evje og Hornnes;937;Evje og Hornnes;10;100;8;80;15;150,00
0938 Bygland;938;Bygland;.;.;0;.;0;.
0940 Valle;940;Valle;9;100;9;100;15;166,67
0941 Bykle;941;Bykle;4;100;1;25;10;250,00
1001 Kristiansand;1001;Kristiansand;160;100;152;95;180;112,50
1002 Mandal;1002;Mandal;28;100;28;100;45;160,71
1003 Farsund;1003;Farsund;20;100;19;95;30;150,00
1004 Flekkefjord;1004;Flekkefjord;15;100;13;86,67;30;200,00
1014 Vennesla;1014;Vennesla;25;100;22;88;35;140,00
1017 Songdalen;1017;Songdalen;20;100;20;100;30;150,00
