Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
07 Vestfold;7;Vestfold;16158;29187;13012;28281;81456;36411;36355;439;1913;1087;4586;12874;2315;1721;15719;27274;11925;23695;68582;34096;34634;8365;15045;6773;14505;41026;17995;15960;238;1013;601;2278;6641;1164;725;8127;14032;6172;12227;34385;16831;15235;7793;14142;6239;13776;40430;18416;20395;201;900;486;2308;6233;1151;996;7592;13242;5753;11468;34197;17265;19399
08 Telemark;8;Telemark;10985;20017;9122;20840;55872;27114;27519;348;1490;850;3106;7874;1559;989;10637;18527;8272;17734;47998;25555;26530;5666;10200;4710;10831;28279;13577;12083;150;697;467;1621;3933;829;427;5516;9503;4243;9210;24346;12748;11656;5319;9817;4412;10009;27593;13537;15436;198;793;383;1485;3941;730;562;5121;9024;4029;8524;23652;12807;14874
09 Aust-Agder;9;Aust-Agder;8366;14399;6223;13916;37691;17164;15988;255;1160;563;1975;5411;1008;736;8111;13239;5660;11941;32280;16156;15252;4273;7377;3217;7169;19206;8654;7206;131;579;287;999;2778;565;319;4142;6798;2930;6170;16428;8089;6887;4093;7022;3006;6747;18485;8510;8782;124;581;276;976;2633;443;417;3969;6441;2730;5771;15852;8067;8365
10 Vest-Agder;10;Vest-Agder;14041;22987;10212;24037;59594;23988;23619;404;1643;896;3578;9781;1925;1317;13637;21344;9316;20459;49813;22063;22302;7283;11628;5200;12450;30542;12094;10297;203;811;485;1808;5134;1010;556;7080;10817;4715;10642;25408;11084;9741;6758;11359;5012;11587;29052;11894;13322;201;832;411;1770;4647;915;761;6557;10527;4601;9817;24405;10979;12561
11 Rogaland;11;Rogaland;39218;60421;25094;64910;161023;57477;51482;1866;4772;2079;12586;34516;4982;1881;37352;55649;23015;52324;126507;52495;49601;20021;30843;12865;33298;84295;29446;22887;986;2484;1080;6178;19580;2980;901;19035;28359;11785;27120;64715;26466;21986;19197;29578;12229;31612;76728;28031;28595;880;2288;999;6408;14936;2002;980;18317;27290;11230;25204;61792;26029;27615
12 Hordaland;12;Hordaland;38890;62400;26424;73208;171648;66580;66096;1323;4041;1800;11746;30233;4060;1982;37567;58359;24624;61462;141415;62520;64114;20028;31603;13581;37564;89678;33935;28932;659;2035;932;5865;17140;2359;844;19369;29568;12649;31699;72538;31576;28088;18862;30797;12843;35644;81970;32645;37164;664;2006;868;5881;13093;1701;1138;18198;28791;11975;29763;68877;30944;36026
14 Sogn og Fjordane;14;Sogn og Fjordane;7573;14112;6386;13204;34110;16354;17226;282;889;500;1829;4981;714;254;7291;13223;5886;11375;29129;15640;16972;3929;7228;3308;6875;17797;8479;7806;134;455;242;938;2780;381;109;3795;6773;3066;5937;15017;8098;7697;3644;6884;3078;6329;16313;7875;9420;148;434;258;891;2201;333;145;3496;6450;2820;5438;14112;7542;9275
15 Møre og Romsdal;15;Møte og Romsdal;18350;32743;14038;32668;84626;39517;39588;656;2167;982;5122;13532;1744;645;17694;30576;13056;27546;71094;37773;38943;9301;16764;7294;17165;44380;20283;17705;304;1177;545;2619;7507;955;253;8997;15587;6749;14546;36873;19328;17452;9049;15979;6744;15503;40246;19234;21883;352;990;437;2503;6025;789;392;8697;14989;6307;13000;34221;18445;21491
16 Sør-Trøndelag;16;Sør-Trøndelag;22476;35967;15410;47169;103558;41173;40444;532;1783;935;7340;14881;2094;933;21944;34184;14475;39829;88677;39079;39511;11586;18436;7917;24711;53646;20758;17994;278;919;492;3869;8236;1130;382;11308;17517;7425;20842;45410;19628;17612;10890;17531;7493;22458;49912;20415;22450;254;864;443;3471;6645;964;551;10636;16667;7050;18987;43267;19451;21899
17 Nord-Trøndelag;17;Nord-Trøndelag;9535;17235;7774;16281;42380;20556;21381;243;818;447;1716;4228;663;296;9292;16417;7327;14565;38152;19893;21085;4899;8817;4003;8368;21670;10540;9685;109;384;239;883;2249;350;128;4790;8433;3764;7485;19421;10190;9557;4636;8418;3771;7913;20710;10016;11696;134;434;208;833;1979;313;168;4502;7984;3563;7080;18731;9703;11528
18 Nordland;18;Nordland;15909;28622;13519;30149;76899;37305;38474;526;1690;883;4057;8689;1314;529;15383;26932;12636;26092;68210;35991;37945;8197;14739;6919;15928;39231;19191;17330;262;882;504;2198;4381;648;219;7935;13857;6415;13730;34850;18543;17111;7712;13883;6600;14221;37668;18114;21144;264;808;379;1859;4308;666;310;7448;13075;6221;12362;33360;17448;20834
19 Troms Romsa;19;Troms Romsa;11212;19340;8774;22439;54118;23737;22430;322;1040;587;3245;7098;1066;376;10890;18300;8187;19194;47020;22671;22054;5758;9957;4633;11640;27844;12046;10217;161;532;337;1597;3733;477;156;5597;9425;4296;10043;24111;11569;10061;5454;9383;4141;10799;26274;11691;12213;161;508;250;1648;3365;589;220;5293;8875;3891;9151;22909;11102;11993
20 Finnmark Finnmárku;20;Finnmark Finnmárku;5068;9171;4203;10253;25221;11229;10062;173;691;355;1783;4277;865;262;4895;8480;3848;8470;20944;10364;9800;2519;4689;2229;5461;13201;5857;4706;87;350;214;976;2132;340;94;2432;4339;2015;4485;11069;5517;4612;2549;4482;1974;4792;12020;5372;5356;86;341;141;807;2145;525;168;2463;4141;1833;3985;9875;4847;5188
99 Uoppgitt fylke;99;Uoppgitt fylke;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
