Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1520 Ørsta;1520;Ørsta;109;87;22;9;13;2,2;1,9;5,6;3,4;9,9
1523 Ørskog;1523;Ørskog;39;15;24;22;2;3,4;1,6;13,6;17;4,2
1524 Norddal;1524;Norddal;10;7;3;3;0;1,3;1,1;3,2;3,6;0
1525 Stranda;1525;Stranda;41;20;21;16;5;1,7;1,1;4,4;3,9;7,2
1526 Stordal;1526;Stordal;26;14;12;8;4;5,5;3,7;13,1;10;35,3
1528 Sykkylven;1528;Sykkylven;117;63;54;33;21;2,9;1,8;9,5;8,5;11,5
1529 Skodje;1529;Skodje;48;35;13;7;6;2,1;1,7;5,7;3,9;11,5
1531 Sula;1531;Sula;88;55;33;19;14;2;1,4;6,1;4,8;9,7
1532 Giske;1532;Giske;127;71;56;42;14;3,3;2,1;13;13,1;12,8
1534 Haram;1534;Haram;111;53;58;31;27;2,5;1,4;7,8;6,2;11,4
1535 Vestnes;1535;Vestnes;77;51;26;16;10;2,4;1,8;5,8;4,9;8,3
1539 Rauma;1539;Rauma;96;80;16;9;7;2,7;2,5;4,6;3,3;9,4
1543 Nesset;1543;Nesset;37;27;10;5;5;2,5;2;10,2;7,6;15,2
1545 Midsund;1545;Midsund;22;12;10;3;7;2,4;1,6;6,1;2,5;16,7
1546 Sandøy;1546;Sandøy;12;4;8;6;2;1,9;0,8;7,4;6,5;12,6
1547 Aukra;1547;Aukra;34;23;11;7;4;2,1;1,6;5,1;4,2;8,2
1548 Fræna;1548;Fræna;163;109;54;43;11;3,4;2,5;12,6;13,5;9,9
1551 Eide;1551;Eide;47;35;12;7;5;2,8;2,3;9,4;8,6;10,8
1554 Averøy;1554;Averøy;44;35;9;7;2;1,6;1,5;3,1;3,1;3,2
1557 Gjemnes;1557;Gjemnes;23;18;5;3;2;1,9;1,6;5,2;4,1;8,8
1560 Tingvoll;1560;Tingvoll;19;14;5;3;2;1,4;1,2;3,7;3,3;4,6
1563 Sunndal;1563;Sunndal;78;60;18;5;13;2,3;1,9;8,2;5,7;9,8
1566 Surnadal;1566;Surnadal;55;47;8;2;6;2;1,8;5,8;2,2;12,9
1567 Rindal;1567;Rindal;17;17; : ; : ; : ;1,8;1,9; : ; : ; : 
1571 Halsa;1571;Halsa;14;10; : ; : ; : ;2;1,5; : ; : ; : 
1573 Smøla;1573;Smøla;23;19;4;4;0;2,3;2,2;3,6;4;0
1576 Aure;1576;Aure;19;15;4;2;2;1,2;1;2,2;1,4;5
1601 Trondheim;1601;Trondheim;2567;1702;865;275;590;2,6;2;7,1;4,6;9,6
1612 Hemne;1612;Hemne;42;33;9;1;8;2,1;1,8;8,1;1,9;13,6
1613 Snillfjord;1613;Snillfjord;6;5; : ; : ; : ;1,4;1,2; : ; : ; : 
1617 Hitra;1617;Hitra;62;29;33;21;12;2,9;1,8;6,2;4,8;12,8
1620 Frøya;1620;Frøya;64;35;29;23;6;2,9;2,2;4,8;4,4;7,3
1621 Ørland;1621;Ørland;62;55;7;1;6;2,6;2,5;5,6;1,4;11,5
1622 Agdenes;1622;Agdenes;10;9; : ; : ; : ;1,3;1,3; : ; : ; : 
1624 Rissa;1624;Rissa;108;80;28;23;5;3,5;2,9;9,6;9,4;10,8
1627 Bjugn;1627;Bjugn;45;38;7;2;5;2,3;2;5,2;2,1;13,4
1630 Åfjord;1630;Åfjord;27;24; : ; : ; : ;1,8;1,7; : ; : ; : 
1632 Roan;1632;Roan;14;10; : ; : ; : ;3,4;2,7; : ; : ; : 
1633 Osen;1633;Osen;6;5; : ; : ; : ;1,6;1,4; : ; : ; : 
1634 Oppdal;1634;Oppdal;80;64;16;13;3;2,6;2,3;6,1;6,6;4,4
1635 Rennebu;1635;Rennebu;23;21; : ; : ; : ;2,1;2; : ; : ; : 
1636 Meldal;1636;Meldal;59;46;13;10;3;3,4;2,9;10,2;9,7;12
1638 Orkdal;1638;Orkdal;157;111;46;11;35;2,8;2,1;12;5,8;17,9
1640 Røros;1640;Røros;45;34;11;4;7;1,7;1,4;4,7;2,5;10,1
1644 Holtålen;1644;Holtålen;25;20; : ; : ; : ;2,6;2,2; : ; : ; : 
1648 Midtre Gauldal;1648;Midtre Gauldal;80;46;34;27;7;2,6;1,8;6,3;5,5;12,9
1653 Melhus;1653;Melhus;197;131;66;24;42;2,5;1,8;12,3;6,6;23,9
1657 Skaun;1657;Skaun;89;74;15;7;8;2,4;2,1;7,2;4,9;12,2
1662 Klæbu;1662;Klæbu;72;51;21;12;9;2,3;1,8;8,5;6,7;13,5
1663 Malvik;1663;Malvik;169;123;46;28;18;2,4;2;7,3;6;10,7
1664 Selbu;1664;Selbu;40;27;13;13;0;2,1;1,5;11,7;15,7;0
1665 Tydal;1665;Tydal;8;8; : ; : ; : ;1,9;2; : ; : ; : 
1702 Steinkjer;1702;Steinkjer;307;242;65;26;39;3,1;2,6;10,9;7,9;14,6
1703 Namsos;1703;Namsos;193;165;28;10;18;3,1;2,8;7;5,4;8,3
1711 Meråker;1711;Meråker;58;42;16;8;8;5,2;4,1;15,5;15,7;15,4
1714 Stjørdal;1714;Stjørdal;252;190;62;20;42;2,3;1,8;8,1;5,8;10,1
1717 Frosta;1717;Frosta;34;28;6;6;0;3,1;2,8;6;7;0
1718 Leksvik;1718;Leksvik;28;22;6;2;4;1,8;1,5;5,2;2,8;9,1
1719 Levanger;1719;Levanger;235;188;47;20;27;2,5;2,2;6,7;4,9;9,2
1721 Verdal;1721;Verdal;247;163;84;43;41;3,5;2,5;16,2;12,4;23,8
1724 Verran;1724;Verran;57;33;24;18;6;5,4;3,6;17;15,4;24,1
1725 Namdalseid;1725;Namdalseid;16;15; : ; : ; : ;2,3;2,3; : ; : ; : 
1736 Snåsa;1736;Snåsa;17;14; : ; : ; : ;1,9;1,6; : ; : ; : 
1738 Lierne;1738;Lierne;13;13; : ; : ; : ;2,1;2,3; : ; : ; : 
1739 Røyrvik;1739;Røyrvik;3;3; : ; : ; : ;1,4;1,5; : ; : ; : 
1740 Namsskogan;1740;Namsskogan;9;9; : ; : ; : ;2,4;2,5; : ; : ; : 
1742 Grong;1742;Grong;24;21;3;0;3;2,3;2,1;4,3;0;8,8
1743 Høylandet;1743;Høylandet;6;4; : ; : ; : ;1,1;0,8; : ; : ; : 
1744 Overhalla;1744;Overhalla;38;28;10;7;3;2,1;1,6;11;9,1;22,1
1748 Fosnes;1748;Fosnes;8;6; : ; : ; : ;3,1;2,5; : ; : ; : 
1749 Flatanger;1749;Flatanger;16;8; : ; : ; : ;3,3;1,8; : ; : ; : 
1750 Vikna;1750;Vikna;46;36;10;6;4;2,3;2;5,5;5,1;6
1751 Nærøy;1751;Nærøy;67;51;16;8;8;3;2,5;9,7;7,6;13,6
1755 Leka;1755;Leka;5;5; : ; : ; : ;2,3;2,6; : ; : ; : 
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);68;52;16;7;9;2,2;1,8;10,3;6,4;19,9
1804 Bodø;1804;Bodø;648;484;164;65;99;2,4;2;7,5;5,6;9,6
1805 Narvik;1805;Narvik;310;211;99;46;53;3,4;2,6;9,5;8,3;10,9
1811 Bindal;1811;Bindal;21;18; : ; : ; : ;3,5;3,1; : ; : ; : 
1812 Sømna;1812;Sømna;34;18; : ; : ; : ;4;2,3; : ; : ; : 
1813 Brønnøy;1813;Brønnøy;128;102;26;9;17;3,4;2,9;10,5;6,9;14,7
1815 Vega;1815;Vega;18;15; : ; : ; : ;4;3,5; : ; : ; : 
1816 Vevelstad;1816;Vevelstad;2;2; : ; : ; : ;1,1;1,2; : ; : ; : 
1818 Herøy (Nordl.);1818;Herøy (Nordl.);36;21;15;11;4;4,8;3,3;13,4;11,9;20,8
1820 Alstahaug;1820;Alstahaug;104;82;22;7;15;2,9;2,6;6,7;4,1;9,5
1822 Leirfjord;1822;Leirfjord;47;28;19;4;15;4,8;3,1;26,2;11,4;40,2
1824 Vefsn;1824;Vefsn;145;124;21;8;13;2,2;2;5,7;4,6;6,6
1825 Grane;1825;Grane;10;9; : ; : ; : ;1,6;1,6; : ; : ; : 
1826 Hattfjelldal;1826;Hattfjelldal;18;10;8;2;6;3;1,8;21,4;7,7;53
1827 Dønna;1827;Dønna;18;14; : ; : ; : ;3,2;2,7; : ; : ; : 
1828 Nesna;1828;Nesna;24;16;8;2;6;3,1;2,4;7,8;3,5;13,3
1832 Hemnes;1832;Hemnes;47;38;9;2;7;2,4;2,1;7,8;3;14,4
1833 Rana;1833;Rana;297;246;51;16;35;2,3;2,1;6,6;3,8;10
1834 Lurøy;1834;Lurøy;21;18; : ; : ; : ;2,6;2,5; : ; : ; : 
1835 Træna;1835;Træna;2;0; : ; : ; : ;0,9;0; : ; : ; : 
1836 Rødøy;1836;Rødøy;21;20; : ; : ; : ;4,1;4,2; : ; : ; : 
1837 Meløy;1837;Meløy;170;154;16;6;10;5,8;5,7;7,4;4,6;11,3
1838 Gildeskål;1838;Gildeskål;26;23;3;1;2;2,9;3;2,8;1,4;5,5
1839 Beiarn;1839;Beiarn;13;11; : ; : ; : ;3;2,6; : ; : ; : 
1840 Saltdal;1840;Saltdal;78;70;8;0;8;3,5;3,4;6,2;0;13,1
1841 Fauske;1841;Fauske;149;118;31;9;22;3,3;2,7;11,1;5,5;18,9
1845 Sørfold;1845;Sørfold;39;31; : ; : ; : ;4,3;3,7; : ; : ; : 
1848 Steigen;1848;Steigen;35;28;7;3;4;3,3;2,9;9,2;5,3;20,8
1849 Hamarøy;1849;Hamarøy;18;15;3;1;2;2,2;2,1;2,6;1,5;4,1
1850 Tysfjord;1850;Tysfjord;25;22;3;2;1;2,9;2,8;4,1;3,5;6,3
1851 Lødingen;1851;Lødingen;29;24;5;3;2;3;2,8;4,7;5,4;3,9
1852 Tjeldsund;1852;Tjeldsund;14;11; : ; : ; : ;2,6;2,2; : ; : ; : 
1853 Evenes;1853;Evenes;22;13; : ; : ; : ;3,9;2,5; : ; : ; : 
1854 Ballangen;1854;Ballangen;32;26;6;2;4;3;2,7;7,9;4,5;12,6
1856 Røst;1856;Røst;22;17; : ; : ; : ;9,1;7,5; : ; : ; : 
1857 Værøy;1857;Værøy;24;21; : ; : ; : ;7,2;8,3; : ; : ; : 
1859 Flakstad;1859;Flakstad;37;27; : ; : ; : ;7,7;6,3; : ; : ; : 
1860 Vestvågøy;1860;Vestvågøy;217;156;61;25;36;4,5;3,6;14,6;11,9;17,5
1865 Vågan;1865;Vågan;159;107;52;18;34;3,8;2,9;9,8;5,5;17
1866 Hadsel;1866;Hadsel;149;104;45;8;37;4,1;3,2;11,8;4,5;18,1
1867 Bø (Nordl.);1867;Bø (Nordl.);69;52;17;6;11;7;5,7;22,1;12,9;36
1868 Øksnes;1868;Øksnes;156;94;62;43;19;8,2;5,6;28,4;26;35,7
1870 Sortland;1870;Sortland;175;138;37;7;30;3,6;3,1;11;4,3;17,1
1871 Andøy;1871;Andøy;95;76;19;12;7;4,6;4;10,7;11;10,1
1874 Moskenes;1874;Moskenes;27;19;8;8;0;6,3;5,8;7,9;8,1;0
1902 Tromsø;1902;Tromsø;819;613;206;72;134;2,1;1,8;4,3;2,6;6,9
1903 Harstad;1903;Harstad;328;242;86;18;68;2,7;2,2;8,6;3,9;12,6
1911 Kvæfjord;1911;Kvæfjord;39;31;8;1;7;2,9;2,5;7,2;2,3;10,5
1913 Skånland;1913;Skånland;35;30;5;4;1;2,6;2,5;4,5;5,5;2,5
1917 Ibestad;1917;Ibestad;14;13; : ; : ; : ;2,5;2,6; : ; : ; : 
1919 Gratangen;1919;Gratangen;11;7;4;2;2;2,4;1,9;4,3;2,5;14,7
1920 Lavangen;1920;Lavangen;11;11; : ; : ; : ;2,7;2,8; : ; : ; : 
1922 Bardu;1922;Bardu;38;31;7;5;2;1,9;1,6;6,1;9,4;3,3
1923 Salangen;1923;Salangen;20;17;3;1;2;2;1,9;4,1;3;4,9
1924 Målselv;1924;Målselv;58;50;8;3;5;1,7;1,6;4,2;2,3;8,8
1925 Sørreisa;1925;Sørreisa;47;38;9;4;5;3;2,6;6,8;4,6;11
1926 Dyrøy;1926;Dyrøy;23;22; : ; : ; : ;4,7;4,8; : ; : ; : 
1927 Tranøy;1927;Tranøy;15;12; : ; : ; : ;2,6;2,3; : ; : ; : 
1928 Torsken;1928;Torsken;23;20; : ; : ; : ;6,4;6,5; : ; : ; : 
1929 Berg;1929;Berg;42;27; : ; : ; : ;10,5;8,2; : ; : ; : 
1931 Lenvik;1931;Lenvik;96;82;14;7;7;1,9;1,8;3,7;3,4;4,1
1933 Balsfjord;1933;Balsfjord;79;66;13;10;3;3,3;3;7,8;8,6;5,9
1936 Karlsøy;1936;Karlsøy;32;22;10;9;1;3,4;2,7;7,1;8,6;2,8
1938 Lyngen;1938;Lyngen;26;26;0;0;0;2,1;2,2;0;0;0
1939 Storfjord;1939;Storfjord;42;29;13;1;12;4,9;3,6;23;2,5;75,7
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;41;36;5;1;4;4,6;4,3;9;2,7;22,1
1941 Skjervøy;1941;Skjervøy;54;40;14;9;5;4,3;3,6;9,4;8,2;12,6
1942 Nordreisa;1942;Nordreisa;86;75;11;3;8;4;3,7;9,3;4,5;15,7
1943 Kvænangen;1943;Kvænangen;15;13; : ; : ; : ;3;2,8; : ; : ; : 
2002 Vardø;2002;Vardø;100;71;29;20;9;11,3;9,3;24,9;26,4;22,1
2003 Vadsø;2003;Vadsø;81;51;30;2;28;2,7;1,9;7,9;1,5;11,2
2004 Hammerfest;2004;Hammerfest;223;101;122;77;45;4;2,2;12,5;14,1;10,4
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;91;89;2;2;0;7,7;8,1;2,2;2,5;0
2012 Alta;2012;Alta;296;214;82;38;44;3,2;2,5;8,6;7,3;10,2
2014 Loppa;2014;Loppa;20;12; : ; : ; : ;4,9;3,5; : ; : ; : 
2015 Hasvik;2015;Hasvik;52;18;34;25;9;11,6;5,7;25,9;23,2;37,9
2017 Kvalsund;2017;Kvalsund;19;19; : ; : ; : ;4,2;4,7; : ; : ; : 
2018 Måsøy;2018;Måsøy;48;34;14;12;2;9,8;8,7;13,7;16,1;7,4
2019 Nordkapp;2019;Nordkapp;102;60;42;21;21;7,3;5;22,2;18;29
2020 Porsanger;2020;Porsanger Porsángu Porsanki;45;40;5;3;2;2,5;2,4;3,4;4;2,8
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;64;58;6;4;2;5;5;5,6;6;5
2022 Lebesby;2022;Lebesby;30;24;6;3;3;5,6;5,4;6,7;5,4;8,8
2023 Gamvik;2023;Gamvik;47;27;20;16;4;10,2;8;16,5;17;14,7
2024 Berlevåg;2024;Berlevåg;21;18;3;1;2;4,6;4,7;3,8;1,6;12,6
2025 Deatnu Tana;2025;Deatnu Tana;55;49;6;3;3;4,2;4,3;3,6;2,7;5,5
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;11;10; : ; : ; : ;3;3; : ; : ; : 
2028 Båtsfjord;2028;Båtsfjord;96;54;42;26;16;9,5;7,4;14,8;13,1;19,1
2030 Sør-Varanger;2030;Sør-Varanger;108;77;31;11;20;2;1,7;3,5;2,7;4,1
