fylke;fylke_nr;fylke_navn;bosetting.bosatt_per_1000
Nedbrytninger;;;enhet.promille
00 Hele landet;0;Hele landet;1,27
01 Østfold;1;Østfold;0,68
02 Akershus;2;Akershus;0,9
03 Oslo;3;Oslo;0,74
04 Hedmark;4;Hedmark;1,3
05 Oppland;5;Oppland;1,71
06 Buskerud;6;Buskerud;1,34
07 Vestfold;7;Vestfold;0,8
08 Telemark;8;Telemark;1,91
09 Aust-Agder;9;Aust-Agder;1,66
10 Vest-Agder;10;Vest-Agder;1,96
11 Rogaland;11;Rogaland;0,98
12 Hordaland;12;Hordaland;1,09
14 Sogn og Fjordane;14;Sogn og Fjordane;1,69
15 Møre og Romsdal;15;Møte og Romsdal;1,43
16 Sør-Trøndelag;16;Sør-Trøndelag;1,18
17 Nord-Trøndelag;17;Nord-Trøndelag;2,14
18 Nordland;18;Nordland;2,35
19 Troms Romsa;19;Troms Romsa;2,09
20 Finnmark Finnmárku;20;Finnmark Finnmárku;2,97
99 Uoppgitt fylke;99;Uoppgitt fylke;.
