kommunenr-kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0101 Halden;101;Halden;12788516,00;8195800,00;1495000,00;6700800,00;0,00;3756500,00;676316,00;68700,00;0,00;91200,00
0104 Moss;104;Moss;42105918,00;25694200,00;6368000,00;19326200,00;1169935,00;12030300,00;2334383,00;114500,00;295200,00;467400,00
0105 Sarpsborg;105;Sarpsborg;51798462,00;38218000,00;12615000,00;25603000,00;605000,00;10627500,00;1468762,00;198400,00;0,00;680800,00
0106 Fredrikstad;106;Fredrikstad;60230491,00;38240700,00;9031500,00;29209200,00;614600,00;17436300,00;2737991,00;136300,00;585800,00;478800,00
0111 Hvaler;111;Hvaler;11410999,00;6515300,00;2989500,00;3525800,00;0,00;1249600,00;3555099,00;45800,00;0,00;45200,00
0118 Aremark;118;Aremark;1375800,00;653600,00;0,00;653600,00;0,00;710800,00;0,00;0,00;0,00;11400,00
0119 Marker;119;Marker;2804500,00;1534000,00;210000,00;1324000,00;0,00;1236300,00;0,00;0,00;0,00;34200,00
0121 Rømskog;121;Rømskog;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0122 Trøgstad;122;Trøgstad;7358200,00;4324000,00;1505000,00;2819000,00;800100,00;1249400,00;916300,00;0,00;0,00;68400,00
0123 Spydeberg;123;Spydeberg;6748400,00;4914800,00;1440000,00;3474800,00;0,00;1822200,00;0,00;0,00;0,00;11400,00
0124 Askim;124;Askim;13248800,00;7386200,00;1720000,00;5666200,00;0,00;4588800,00;785400,00;0,00;442800,00;45600,00
0125 Eidsberg;125;Eidsberg;10826200,00;7063000,00;2130000,00;4933000,00;0,00;3484000,00;130900,00;22900,00;0,00;125400,00
0127 Skiptvet;127;Skiptvet;5587345,00;3403900,00;739500,00;2664400,00;147605,00;1259000,00;675640,00;21800,00;0,00;79400,00
0128 Rakkestad;128;Rakkestad;4384200,00;2320000,00;1000000,00;1320000,00;0,00;1460600,00;523600,00;45800,00;0,00;34200,00
0135 Råde;135;Råde;7053915,00;5273400,00;310000,00;4963400,00;27815,00;1650000,00;0,00;22900,00;0,00;79800,00
0136 Rygge;136;Rygge;6563204,00;2167200,00;330000,00;1837200,00;761191,00;1978100,00;1656713,00;0,00;0,00;0,00
0137 Våler (Østfold);137;Våler (Østf.);2016500,00;0,00;0,00;0,00;0,00;2016500,00;0,00;0,00;0,00;0,00
0138 Hobøl;138;Hobøl;4200100,00;475000,00;475000,00;0,00;0,00;3702200,00;0,00;22900,00;0,00;0,00
0211 Vestby;211;Vestby;19323750,00;12007100,00;4666500,00;7340600,00;0,00;6021800,00;1112650,00;45800,00;0,00;136400,00
0213 Ski;213;Ski;35342040,00;27733300,00;10244500,00;17488800,00;0,00;6376100,00;675640,00;91600,00;0,00;465400,00
0214 Ås;214;Ås;20890300,00;12592200,00;5443000,00;7149200,00;340000,00;6826100,00;916300,00;68700,00;0,00;147000,00
0215 Frogn;215;Frogn;18227229,00;10070800,00;4105000,00;5965800,00;2729537,00;3826500,00;1428992,00;91600,00;0,00;79800,00
0216 Nesodden;216;Nesodden;17124668,00;10951600,00;1578000,00;9373600,00;993618,00;3075800,00;1767150,00;86100,00;0,00;250400,00
0217 Oppegård;217;Oppegård;29129700,00;23075400,00;4116500,00;18958900,00;0,00;3880200,00;1570800,00;91600,00;0,00;511700,00
0219 Bærum;219;Bærum;125568808,00;78871300,00;25679000,00;53192300,00;11466102,00;25192100,00;7895306,00;272600,00;438200,00;1433200,00
0220 Asker;220;Asker;56887308,00;36505000,00;7907000,00;28598000,00;1024044,00;12794700,00;5847364,00;113400,00;147600,00;455200,00
0221 Aurskog Høland;221;Aurskog-Høland;10225448,00;6981200,00;2360000,00;4621200,00;623848,00;2437700,00;0,00;68700,00;0,00;114000,00
0226 Sørum;226;Sørum;10429100,00;7496200,00;1480000,00;6016200,00;0,00;2750300,00;0,00;45800,00;0,00;136800,00
0227 Fet;227;Fet;9294200,00;6827400,00;3454000,00;3373400,00;0,00;2321300,00;0,00;66500,00;0,00;79000,00
0228 Rælingen;228;Rælingen;19415900,00;13646000,00;2675000,00;10971000,00;0,00;4722300,00;785400,00;0,00;0,00;262200,00
0229 Enebakk;229;Enebakk;7350325,00;4621500,00;1245000,00;3376500,00;0,00;2417000,00;163625,00;0,00;0,00;148200,00
0230 Lørenskog;230;Lørenskog;29294342,00;17620100,00;5131500,00;12488600,00;0,00;8201200,00;3301842,00;45800,00;0,00;125400,00
0231 Skedsmo;231;Skedsmo;70570257,00;47482500,00;15283500,00;32199000,00;4374965,00;15147600,00;2476192,00;229000,00;143000,00;717000,00
0233 Nittedal;233;Nittedal;11467525,00;8356300,00;3756500,00;4599800,00;0,00;2896900,00;32725,00;67600,00;0,00;114000,00
0234 Gjerdrum;234;Gjerdrum;4882100,00;3374000,00;1380000,00;1994000,00;0,00;1360900,00;0,00;45800,00;0,00;101400,00
0235 Ullensaker;235;Ullensaker;16196299,00;8549100,00;2642500,00;5906600,00;0,00;5872800,00;1502299,00;44700,00;147600,00;79800,00
