Næringsregion nr & navn;naringsregion_nr;Næringsregionsavn;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
27 Grenland;27;Grenland;15475;1124;13866;485;100;7,3;89,6;3,1;8016;609;7137;270;100;7,6;89;3,4;7459;515;6729;215;100;6,9;90,2;2,9
28 Midt-Telemark;28;Midt-Telemark;2139;193;1916;30;100;9;89,6;1,4;1119;106;1000;13;100;9,5;89,4;1,2;1020;87;916;17;100;8,5;89,8;1,7
29 Øst-Telemark;29;Øst-Telemark;2437;129;2278;30;100;5,3;93,5;1,2;1312;75;1219;18;100;5,7;92,9;1,4;1125;54;1059;12;100;4,8;94,1;1,1
30 Vest-Telemark;30;Vest-Telemark;1851;92;1748;11;100;5;94,4;0,6;1021;49;968;4;100;4,8;94,8;0,4;830;43;780;7;100;5,2;94;0,8
31 Setesdal;31;Setesdal;941;99;829;13;100;10,5;88,1;1,4;470;35;431;4;100;7,4;91,7;0,9;471;64;398;9;100;13,6;84,5;1,9
32 Arendalregionen;32;Arendalregionen;11598;736;10643;219;100;6,3;91,8;1,9;6062;392;5548;122;100;6,5;91,5;2;5536;344;5095;97;100;6,2;92;1,8
33 Lister;33;Lister;5105;290;4747;68;100;5,7;93;1,3;2729;139;2548;42;100;5,1;93,4;1,5;2376;151;2199;26;100;6,4;92,6;1,1
34 Mandalsregionen;34;Mandalsregionen;3454;141;3287;26;100;4,1;95,2;0,8;1812;77;1721;14;100;4,2;95;0,8;1642;64;1566;12;100;3,9;95,4;0,7
35 Kristiansandregionen;35;Kristiansandregionen;17872;1212;15985;675;100;6,8;89,4;3,8;9320;654;8337;329;100;7;89,5;3,5;8552;558;7648;346;100;6,5;89,4;4
36 Dalane;36;Dalane;3470;162;3278;30;100;4,7;94,5;0,9;1890;76;1789;25;100;4;94,7;1,3;1580;86;1489;5;100;5,4;94,2;0,3
