kommune;kommune_nr;kommune_navn;bosetting.bosatt_per_1000
Nedbrytninger;;;enhet.promille
0101 Halden;101;Halden;0,200803213
0104 Moss;104;Moss;1,097198916
0105 Sarpsborg;105;Sarpsborg;0,81942789
0106 Fredrikstad;106;Fredrikstad;0,624943039
0111 Hvaler;111;Hvaler;1,16713352
0118 Aremark;118;Aremark;0
0119 Marker;119;Marker;1,393922498
0121 Rømskog;121;Rømskog;0
0122 Trøgstad;122;Trøgstad;0,948226816
0123 Spydeberg;123;Spydeberg;2,009499452
0124 Askim;124;Askim;0,587659158
0125 Eidsberg;125;Eidsberg;0,625279142
0127 Skiptvet;127;Skiptvet;2,181025082
0128 Rakkestad;128;Rakkestad;0
0135 Råde;135;Råde;1,55962002
0136 Rygge;136;Rygge;0,267254627
0137 Våler (Østfold);137;Våler (Østf.);0
0138 Hobøl;138;Hobøl;0
0211 Vestby;211;Vestby;0,7689843
0213 Ski;213;Ski;1,126010851
0214 Ås;214;Ås;0,796903461
0215 Frogn;215;Frogn;0,387872519
0216 Nesodden;216;Nesodden;0,666740749
0217 Oppegård;217;Oppegård;0,308130802
0219 Bærum;219;Bærum;0,865637615
0220 Asker;220;Asker;0,835974781
0221 Aurskog Høland;221;Aurskog-Høland;0,589777195
0226 Sørum;226;Sørum;0,55002139
0227 Fet;227;Fet;1,202590194
0228 Rælingen;228;Rælingen;0,913520097
0229 Enebakk;229;Enebakk;0,473484848
0230 Lørenskog;230;Lørenskog;0,67016317
0231 Skedsmo;231;Skedsmo;1,048840339
0233 Nittedal;233;Nittedal;0,455145419
0234 Gjerdrum;234;Gjerdrum;0,319284802
0235 Ullensaker;235;Ullensaker;0,346533094
0236 Nes (Akershus);236;Nes (Ak.);0,958676018
0237 Eidsvoll;237;Eidsvoll;0,677445579
0238 Nannestad;238;Nannestad;0,695349848
0239 Hurdal;239;Hurdal;0
0301 Oslo;301;Oslo kommune;0,735617005
0402 Kongsvinger;402;Kongsvinger;0,453566164
0403 Hamar;403;Hamar;1,36272272
0412 Ringsaker;412;Ringsaker;0,209543196
0415 Løten;415;Løten;1,069661719
0417 Stange;417;Stange;1,33972278
0418 Nord-Odal;418;Nord-Odal;0,192678227
0419 Sør-Odal;419;Sør-Odal;0,768639508
0420 Eidskog;420;Eidskog;0,159184973
0423 Grue;423;Grue;0,800480288
0425 Åsnes;425;Åsnes;1,842105263
0426 Våler (Hedm.);426;Våler (Hedm.);0
0427 Elverum;427;Elverum;1,327237871
0428 Trysil;428;Trysil;1,3454926
0429 Åmot;429;Åmot;0
0430 Stor-Elvdal;430;Stor-Elvdal;1,135933359
0432 Rendalen;432;Rendalen;0
0434 Engerdal;434;Engerdal;3,63372093
