kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1826 Hattfjelldal;1826;Hattfjelldal;9,2;34,1;:;38,1;7,8
1827 Dønna;1827;Dønna;9,8;38,7;:;30,4;9,1
1828 Nesna;1828;Nesna;13,8;19,7;72;46,8;10,6
1832 Hemnes;1832;Hemnes;7,2;31,3;30;30,7;6,3
1833 Rana;1833;Rana;5,7;13,9;32,1;23,6;4,9
1834 Lurøy;1834;Lurøy;8,8;:;:;:;8,6
1835 Træna;1835;Træna;11,7;:;:;:;10,7
1836 Rødøy;1836;Rødøy;8;:;:;:;7,8
1837 Meløy;1837;Meløy;6,5;25,2;22,6;23,9;5,7
1838 Gildeskål;1838;Gildeskål;6,3;:;:;16,7;5,7
1839 Beiarn;1839;Beiarn;7,1;78,6;:;50;6,2
1840 Saltdal;1840;Saltdal;6,7;17,8;24;21;6,1
1841 Fauske;1841;Fauske;6,5;11,2;42,3;27,4;5,6
1845 Sørfold;1845;Sørfold;9,1;:;:;16,9;8,8
1848 Steigen;1848;Steigen;10,6;36,2;36,4;36,2;9
1849 Hamarøy;1849;Hamarøy;9,7;23,2;28,6;25,2;8,4
1850 Tysfjord;1850;Tysfjord;9;31,4;:;27,1;8,3
1851 Lødingen;1851;Lødingen;7,7;22,4;26,1;24,3;6,4
1852 Tjeldsund;1852;Tjeldsund;6,6;:;:;:;6,5
1853 Evenes;1853;Evenes;9,9;:;56,5;31,6;8,9
1854 Ballangen;1854;Ballangen;9,3;28,3;45,3;37,6;7,8
1856 Røst;1856;Røst;9,5;:;:;:;9,5
1857 Værøy;1857;Værøy;12,6;:;44,4;35,7;11,1
1859 Flakstad;1859;Flakstad;7,7;:;:;:;7,5
1860 Vestvågøy;1860;Vestvågøy;8,5;23,3;40,5;32,9;7,1
1865 Vågan;1865;Vågan;8,5;22,5;38,9;30,4;6,6
1866 Hadsel;1866;Hadsel;9;23,3;33;30;7,5
1867 Bø (Nordl.);1867;Bø (Nordl.);13,6;26,7;46,2;36,8;12,4
1868 Øksnes;1868;Øksnes;9,9;22,3;27,6;24;9
1870 Sortland;1870;Sortland;8,4;30,8;42,6;38,5;6,8
1871 Andøy;1871;Andøy;8,8;19,9;44,9;31,5;7,4
1874 Moskenes;1874;Moskenes;12,1;32,6;:;32,7;9,9
1902 Tromsø;1902;Tromsø;7,8;19,3;28;23,4;6,5
1903 Harstad;1901;Harstad;6,9;11,5;42,8;31,5;5,3
1911 Kvæfjord;1911;Kvæfjord;8,6;24,6;55,5;45,1;5,9
1913 Skånland;1913;Skånland;6,7;:;:;9,1;6,6
1917 Ibestad;1917;Ibestad;10,1;:;44,4;31,8;9
1919 Gratangen;1919;Gratangen;10,8;21,6;47,6;27,4;9,1
1920 Lavangen;1920;Lavangen;8,8;:;:;:;8,1
1922 Bardu;1922;Bardu;5,2;20,5;30;25,5;4,4
1923 Salangen;1923;Salangen;7,9;41,2;42,6;42,2;6
1924 Målselv;1924;Målselv;5,3;:;26,3;15,2;4,9
1925 Sørreisa;1925;Sørreisa;6;14,7;22,4;17,6;5,4
1926 Dyrøy;1926;Dyrøy;8,9;:;:;:;9,1
1927 Tranøy;1927;Tranøy;9,7;:;42,5;29,3;8,6
1928 Torsken;1928;Torsken;10,8;25,6;:;26,9;9,7
1929 Berg;1929;Berg;8,7;29,3;43,8;35,6;6
1931 Lenvik;1931;Lenvik;6,8;15,2;40,1;29,9;5,7
1933 Balsfjord;1933;Balsfjord;8,2;18,3;:;14,6;7,9
1936 Karlsøy;1936;Karlsøy;8,2;25;:;20,8;7,2
1938 Lyngen;1938;Lyngen;8,3;31,1;:;24,7;7,8
1939 Storfjord;1939;Storfjord;8,4;20,6;:;21,8;7,7
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;8,2;23,9;:;22,2;7,7
1941 Skjervøy;1941;Skjervøy;6,6;17,2;:;16,1;6
1942 Nordreisa;1942;Nordreisa;6,9;23,1;34,6;28,8;6,1
1943 Kvænangen;1943;Kvænangen;10,9;:;:;:;10,9
2002 Vardø;2002;Vardø;9,3;23,2;30,9;26;7,9
2003 Vadsø;2003;Vadsø;7,5;15,8;45,3;38,4;3,3
2004 Hammerfest;2004;Hammerfest;5,3;11,6;26,2;19,4;3,5
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;15,9;18,9;:;21,3;15,7
2012 Alta;2012;Alta;5,4;13,2;20,9;17,3;4,6
2014 Loppa;2014;Loppa;8,5;:;:;:;8,2
2015 Hasvik;2015;Hasvik;8,3;19,8;:;18;6,7
2017 Kvalsund;2017;Kvalsund;7,5;:;:;:;7,6
2018 Måsøy;2018;Måsøy;10,3;28,9;:;26,1;8,4
2019 Nordkapp;2019;Nordkapp;9,7;24,8;21,2;23,3;8,4
2020 Porsanger;2020;Porsanger Porsángu Porsanki;7,1;14,4;19,8;17,2;6,5
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;10,3;:;:;9,3;10,4
2022 Lebesby;2022;Lebesby;10;20;:;14,7;9,5
2023 Gamvik;2023;Gamvik;9,4;29,9;:;24,3;7,5
2024 Berlevåg;2024;Berlevåg;7,6;:;:;:;7,3
2025 Deatnu Tana;2025;Deatnu Tana;7,2;11,5;:;9,9;7
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;9,7;:;:;:;9,6
2028 Båtsfjord;2028;Båtsfjord;8,6;14,2;12,6;13,7;7,6
2030 Sør-Varanger;2030;Sør-Varanger;5;15,2;15,8;15,6;3,8
