kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0540 Sør-Aurdal;540;Sør-Aurdal;12,5;21,3;56,9;33,8;11,4
0541 Etnedal;541;Etnedal;14,8;47,7;58,6;52,1;12,4
0542 Nord-Aurdal;542;Nord-Aurdal;10,5;36,1;34,3;35,5;8,7
0543 Vestre Slidre;543;Vestre Slidre;10;41,3;76,3;53,1;7,5
0544 Øystre Slidre;544;Øystre Slidre;8,3;24,2;42,6;29,6;6,9
0545 Vang;545;Vang;10,7;29,2;67,9;37,3;7,9
0602 Drammen;602;Drammen;11,4;21,1;31,6;28,3;7,7
0604 Kongsberg;604;Kongsberg;6,4;15;25,7;20,4;4,8
0605 Ringerike;605;Ringerike;9,8;26,3;32,4;29,4;7,9
0612 Hole;612;Hole;6,5;18,5;25,3;20,7;4,9
0615 Flå;615;Flå;8,3;38,2;:;32,3;6,6
0616 Nes (Busk.);616;Nes (Busk.);9,1;23;34,6;26,8;7,7
0617 Gol;617;Gol;9,9;20,4;40,3;29,2;7,4
0618 Hemsedal;618;Hemsedal;8,7;19,4;26,2;20,4;6,8
0619 Ål;619;Ål;8,7;24,3;41,5;29,6;7,2
0620 Hol;620;Hol;8,8;19,4;23,4;20,3;7,3
0621 Sigdal;621;Sigdal;8,2;40;37,5;39,5;6,7
0622 Krødsherad;622;Krødsherad;9,6;34,5;33,3;34,2;7,6
0623 Modum;623;Modum;8,6;22,4;35,6;28,2;7
0624 Øvre Eiker;624;Øvre Eiker;7,9;19,2;29,4;23,3;6,3
0625 Nedre Eiker;625;Nedre Eiker;7,9;13,7;25,2;20,4;6,1
0626 Lier;626;Lier;7,1;18;30,5;24,2;4,5
0627 Røyken;627;Røyken;5,1;14,6;22,7;17,4;3,7
0628 Hurum;628;Hurum;6,4;15,4;32,2;20,4;5
0631 Flesberg;631;Flesberg;7,5;26,3;60;36,8;5,7
0632 Rollag;632;Rollag;5,9;:;44,4;21,1;5,2
0633 Nore og Uvdal;633;Nore og Uvdal;10,2;32,6;55,8;39,9;8,4
0701 Horten;701;Horten;10,3;23,7;38,9;32;7,9
0702 Holmestrand;702;Holmestrand;7;17,2;31,8;23,9;5,7
0704 Tønsberg;704;Tønsberg;8,9;21,1;31,4;26,1;7,1
0706 Sandefjord;706;Sandefjord;10,2;23,9;32,8;28,8;7,9
0709 Larvik;709;Larvik;9,6;20,6;41,4;31,6;7,5
0711 Svelvik;711;Svelvik;6,8;16,3;36,1;22,3;5,4
0713 Sande (Vestf.);713;Sande (Vestf.);6,6;12,3;37,6;20,8;5,4
0714 Hof;714;Hof;7,9;25,8;:;22,9;7
0716 Re;716;Re (f.o.m. 2002);8;23,1;34,7;27,5;6,4
0719 Andebu;719;Andebu;8,2;30,7;37,5;32,9;6,3
0720 Stokke;720;Stokke;8,8;27,8;39,1;32,3;6,4
0722 Nøtterøy;722;Nøtterøy;7,6;21,9;33,5;27,4;5,8
0723 Tjøme;723;Tjøme;9,2;27,4;49,2;34,8;7
0728 Lardal;728;Lardal;7;20,6;43,9;29,8;5,9
0805 Porsgrunn;805;Porsgrunn;8;20,6;32,9;28;6,3
0806 Skien;806;Skien;10,7;22,2;40,7;34,4;8
0807 Notodden;807;Notodden;9,7;28,2;43,6;36,2;7,8
0811 Siljan;811;Siljan;7,1;:;49,3;37,9;5,4
0814 Bamble;814;Bamble;7,1;16,3;40,6;29,4;5,8
0815 Kragerø;815;Kragerø;10,7;23,4;48,1;35,1;8,8
0817 Drangedal;817;Drangedal;10,8;26,8;41,9;31,4;9,4
0819 Nome;819;Nome;9,8;23,5;44,1;33,6;7,9
0821 Bø (Telemark);821;Bø (Telem.);14,3;41,2;49,5;45,5;12,1
0822 Sauherad;822;Sauherad;10,8;31,1;62,6;47,9;8,2
0826 Tinn;826;Tinn;8,8;26,2;29,5;27,7;7,1
0827 Hjartdal;827;Hjartdal;8,2;41,2;:;38,5;7,4
0828 Seljord;828;Seljord;9,6;22,8;58;32,9;8
0829 Kviteseid;829;Kviteseid;9,2;26,9;:;22,9;8,3
