Fylke nr & navn;fylke_nr;"Fylke
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere;innvkat_4.innvandrere
06 Buskerud;6;Buskerud;40,1;36,3;39,4;40,5;3158;307;165;2686;38,1;34,8;38,3;38,4;1613;156;85;1372;42,1;37,8;40,7;42,7;1545;151;80;1314;36,3;38,2;35,3;307;106;201;34,8;36,8;34;156;45;111;37,8;39,2;36,9;151;61;90;36,3;38,2;35,4;307;102;205;34,8;35,9;34,3;156;52;104;37,8;40,6;36,5;151;50;101
07 Vestfold;7;Vestfold;40,7;35,7;40,3;41;2846;194;84;2568;38,8;34,1;39,4;39,2;1452;113;39;1300;42,6;38,1;41;42,9;1394;81;45;1268;35,7;36,8;35,3;194;61;133;34,1;35,8;33,1;113;40;73;38,1;38,7;37,9;81;21;60;35,7;38,1;34,7;194;61;133;34,1;36,4;33,2;113;31;82;38,1;39,9;37;81;30;51
08 Telemark;8;Telemark;39,2;35,1;37,2;39,7;2030;172;62;1796;37,2;33,5;35,6;37,6;1029;85;35;909;41,3;36,6;39,2;41,8;1001;87;27;887;35,1;37;34,2;172;55;117;33,5;34,9;32,7;85;30;55;36,6;39,5;35,5;87;25;62;35,1;37,1;34,2;172;53;119;33,5;36,7;32,3;85;23;62;36,6;37,4;36,2;87;30;57
09 Aust-Agder;9;Aust-Agder;39,8;37,3;45,1;39,9;1449;128;26;1295;38,1;36,4;45;38,1;719;57;10;652;41,5;38;45,1;41,8;730;71;16;643;37,3;37,1;37,4;128;55;73;36,4;37,9;35,2;57;25;32;38;36,4;39,2;71;30;41;37,3;39,6;36,3;128;38;90;36,4;36,1;36,5;57;18;39;38;42,7;36,2;71;20;51
10 Vest-Agder;10;Vest-Agder;39,9;35,5;39,7;40,3;2205;149;77;1979;38,4;34,5;37,9;38,7;1120;77;42;1001;41,5;36,7;41,8;41,9;1085;72;35;978;35,5;37,8;34,5;149;46;103;34,5;36,9;33,4;77;23;54;36,7;38,7;35,7;72;23;49;35,5;37,2;34,7;149;52;97;34,5;36,7;33,3;77;26;51;36,7;37,6;36,2;72;26;46
11 Rogaland;11;Rogaland;40,3;35,4;39,6;40,8;5777;431;204;5142;38,4;34,3;38,5;38,7;2946;218;109;2619;42,4;36,5;40,8;43;2831;213;95;2523;35,4;35,1;35,6;431;187;244;34,3;34,1;34,5;218;102;116;36,5;36,4;36,5;213;85;128;35,4;37,6;34,6;431;107;324;34,3;36,7;33,4;218;59;159;36,5;38,8;35,8;213;48;165
12 Hordaland;12;Hordaland;40,9;35,4;40,3;41,3;5966;345;130;5491;39,1;33,5;39,2;39,4;3022;166;75;2781;42,7;37,1;41,8;43,1;2944;179;55;2710;35,4;36,5;34,5;345;149;196;33,5;35,3;32,2;166;72;94;37,1;37,7;36,7;179;77;102;35,4;38,1;34,7;345;73;272;33,5;37,6;32,5;166;33;133;37,1;38,6;36,7;179;40;139
14 Sogn og Fjordane;14;Sogn og Fjordane;41,5;38,2;39,3;41,7;1437;83;7;1347;39,6;:;:;39,8;721;:;:;672;43,5;:;:;43,6;716;:;:;675;38,2;38,3;38;83;53;30;36;36,4;35,2;44;32;12;40,6;41,2;39,9;39;21;18;38,2;43,6;36,4;83;20;63;36;41,8;34,1;44;11;33;40,6;45,8;39;39;9;30
15 Møre og Romsdal;15;Møte og Romsdal;40,4;35,8;40,7;40,7;3206;182;32;2992;38,3;34,5;38,4;38,6;1661;105;14;1542;42,7;37,6;42,6;42,9;1545;77;18;1450;35,8;37,5;34,2;182;90;92;34,5;36;33,1;105;52;53;37,6;39,7;35,7;77;38;39;35,8;42;34,7;182;29;153;34,5;41;33,2;105;18;87;37,6;43,7;36,6;77;11;66
16 Sør-Trøndelag;16;Sør-Trøndelag;40,3;36,1;39,3;40,5;3593;178;65;3350;38,4;35;37,6;38,6;1820;96;35;1689;42,3;37,3;41,3;42,5;1773;82;30;1661;36,1;37,4;35,2;178;66;112;35;36,4;34;96;39;57;37,3;38,9;36,6;82;27;55;36,1;38,8;35,1;178;47;131;35;36,7;34,3;96;27;69;37,3;41,5;36;82;20;62
17 Nord-Trøndelag;17;Nord-Trøndelag;39,5;35;39,5;39,7;1750;73;6;1671;37,2;:;:;37,3;903;:;:;869;42;:;:;42,3;847;:;:;802;35;37,4;34,3;73;18;55;34,4;37,6;32,8;32;11;21;35,5;37,1;35,2;41;7;34;35;36,8;34,6;73;14;59;34,4;33,3;34,8;32;8;24;35,5;41,6;34,5;41;6;35
18 Nordland;18;Nordland;40,3;36,2;41,7;40,6;3032;181;18;2833;38,2;35,8;40,9;38,3;1569;93;11;1465;42,6;36,5;42,9;42,9;1463;88;7;1368;36,2;40,2;34,6;181;50;131;35,8;40;34,2;93;26;67;36,5;40,5;35;88;24;64;36,2;38,3;35,7;181;31;150;35,8;38,7;35,1;93;19;74;36,5;37,8;36,3;88;12;76
19 Troms Romsa;19;Troms Romsa;40,3;36,3;43,6;40,5;1964;87;9;1868;38,2;:;:;38,4;1029;:;:;978;42,6;:;:;42,8;935;:;:;890;36,3;39,1;35,3;87;24;63;34,5;38,6;33,4;44;9;35;38,2;39,3;37,6;43;15;28;36,3;40,9;35;87;20;67;34,5;41,3;32,2;44;11;33;38,2;40,4;37,6;43;9;34
20 Finnmark Finnmárku;20;Finnmark Finnmárku;39,5;34,1;37,3;39,9;921;53;9;859;36,8;33,7;32,3;37;468;21;5;442;42,4;34,3;43,5;43;453;32;4;417;34,1;38,3;32,8;53;12;41;33,7;36;32,8;21;6;15;34,3;40,7;32,9;32;6;26;34,1;36,4;33,7;53;7;46;33,7;41,6;32,4;21;3;18;34,3;32,5;34,6;32;4;28
99 Uoppgitt fylke;99;Uoppgitt fylke;33,5;.;.;33,5;99;.;.;99;31,9;.;.;31,9;45;.;.;45;34,9;.;.;34,9;54;.;.;54;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
