Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
0121 Rømskog;121;Rømskog;40;76;34;47;223;108;144;3;0;0;4;27;6;4;37;76;34;43;196;102;140;21;40;21;32;112;61;66;1;0;0;3;14;3;2;20;40;21;29;98;58;64;19;36;13;15;111;47;78;2;0;0;1;13;3;2;17;36;13;14;98;44;76
0122 Trøgstad;122;Trøgstad;364;631;275;600;1878;782;836;11;43;23;82;250;36;26;353;588;252;518;1628;746;810;193;321;144;321;993;395;381;6;24;12;46;138;24;11;187;297;132;275;855;371;370;171;310;131;279;885;387;455;5;19;11;36;112;12;15;166;291;120;243;773;375;440
0123 Spydeberg;123;Spydeberg;398;718;306;614;1891;867;826;8;46;35;91;273;55;38;390;672;271;523;1618;812;788;209;377;166;321;963;431;362;4;26;20;46;138;31;18;205;351;146;275;825;400;344;189;341;140;293;928;436;464;4;20;15;45;135;24;20;185;321;125;248;793;412;444
0124 Askim;124;Askim;1099;1864;815;1852;5238;2401;2161;32;133;91;386;1218;306;126;1067;1731;724;1466;4020;2095;2035;555;979;399;928;2655;1207;924;15;78;43;187;630;173;56;540;901;356;741;2025;1034;868;544;885;416;924;2583;1194;1237;17;55;48;199;588;133;70;527;830;368;725;1995;1061;1167
0125 Eidsberg;125;Eidsberg;731;1427;618;1361;3827;1608;1751;33;164;88;245;747;123;69;698;1263;530;1116;3080;1485;1682;381;739;315;697;1964;776;779;16;92;40;127;395;60;38;365;647;275;570;1569;716;741;350;688;303;664;1863;832;972;17;72;48;118;352;63;31;333;616;255;546;1511;769;941
0127 Skiptvet;127;Skiptvet;263;528;199;409;1295;546;487;13;28;13;54;180;31;16;250;500;186;355;1115;515;471;131;265;97;204;684;279;214;8;20;6;26;100;19;6;123;245;91;178;584;260;208;132;263;102;205;611;267;273;5;8;7;28;80;12;10;127;255;95;177;531;255;263
0128 Rakkestad;128;Rakkestad;558;976;404;870;2660;1298;1208;22;77;47;151;466;63;32;536;899;357;719;2194;1235;1176;290;496;215;423;1396;672;517;12;43;27;73;272;35;13;278;453;188;350;1124;637;504;268;480;189;447;1264;626;691;10;34;20;78;194;28;19;258;446;169;369;1070;598;672
0135 Råde;135;Råde;452;862;361;778;2355;1136;1160;13;54;29;98;321;53;49;439;808;332;680;2034;1083;1111;272;462;178;412;1211;570;526;4;30;16;62;198;33;25;268;432;162;350;1013;537;501;180;400;183;366;1144;566;634;9;24;13;36;123;20;24;171;376;170;330;1021;546;610
0136 Rygge;136;Rygge;921;1997;857;1576;5267;2196;2287;17;86;47;182;802;188;131;904;1911;810;1394;4465;2008;2156;435;1051;443;841;2679;1079;1015;7;44;24;80;435;103;52;428;1007;419;761;2244;976;963;486;946;414;735;2588;1117;1272;10;42;23;102;367;85;79;476;904;391;633;2221;1032;1193
0137 Våler;137;Våler (Østf.);407;662;249;556;1819;700;585;15;29;14;83;271;62;28;392;633;235;473;1548;638;557;209;334;126;295;927;370;281;6;18;6;44;153;31;17;203;316;120;251;774;339;264;198;328;123;261;892;330;304;9;11;8;39;118;31;11;189;317;115;222;774;299;293
0138 Hobøl;138;Hobøl;394;623;270;668;1908;695;629;14;42;28;132;386;40;38;380;581;242;536;1522;655;591;201;306;134;358;998;355;285;4;19;14;67;218;21;12;197;287;120;291;780;334;273;193;317;136;310;910;340;344;10;23;14;65;168;19;26;183;294;122;245;742;321;318
0211 Vestby;211;Vestby;1298;2242;817;1552;5782;2312;1941;37;113;72;317;1064;175;124;1261;2129;745;1235;4718;2137;1817;678;1120;418;777;2937;1128;922;21;57;38;170;561;91;59;657;1063;380;607;2376;1037;863;620;1122;399;775;2845;1184;1019;16;56;34;147;503;84;65;604;1066;365;628;2342;1100;954
0213 Ski;213;Ski;2346;4142;1679;3227;10535;3792;3821;57;210;122;607;2084;365;227;2289;3932;1557;2620;8451;3427;3594;1174;2125;878;1695;5241;1903;1725;31;103;69;307;1086;200;98;1143;2022;809;1388;4155;1703;1627;1172;2017;801;1532;5294;1889;2096;26;107;53;300;998;165;129;1146;1910;748;1232;4296;1724;1967
0214 Ås;214;Ås;1501;2275;927;2518;6477;2113;2158;67;161;69;676;1631;216;137;1434;2114;858;1842;4846;1897;2021;762;1192;474;1318;3326;1109;997;43;82;41;340;923;130;69;719;1110;433;978;2403;979;928;739;1083;453;1200;3151;1004;1161;24;79;28;336;708;86;68;715;1004;425;864;2443;918;1093
0215 Frogn;215;Frogn;1043;2033;899;1498;5537;2352;2309;23;70;48;189;816;178;126;1020;1963;851;1309;4721;2174;2183;529;1048;455;775;2653;1175;1051;11;28;30;99;394;86;49;518;1020;425;676;2259;1089;1002;514;985;444;723;2884;1177;1258;12;42;18;90;422;92;77;502;943;426;633;2462;1085;1181
0216 Nesodden;216;Nesodden;1365;2540;1111;1797;6597;2740;2147;26;133;62;240;1140;303;184;1339;2407;1049;1557;5457;2437;1963;685;1310;589;904;3163;1349;940;11;67;31;117;580;154;67;674;1243;558;787;2583;1195;873;680;1230;522;893;3434;1391;1207;15;66;31;123;560;149;117;665;1164;491;770;2874;1242;1090
