Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
0412 Ringsaker;412;Ringsaker;2244;4028;1783;3806;11275;5056;5271;47;215;93;406;1250;218;105;2197;3813;1690;3400;10025;4838;5166;1163;2078;917;1938;5752;2607;2368;28;110;46;209;675;116;48;1135;1968;871;1729;5077;2491;2320;1081;1950;866;1868;5523;2449;2903;19;105;47;197;575;102;57;1062;1845;819;1671;4948;2347;2846
0415 Løten;415;Løten;479;851;381;918;2452;1246;1219;16;65;28;90;240;38;23;463;786;353;828;2212;1208;1196;266;415;194;458;1241;632;572;8;32;8;49;123;18;8;258;383;186;409;1118;614;564;213;436;187;460;1211;614;647;8;33;20;41;117;20;15;205;403;167;419;1094;594;632
0417 Stange;417;Stange;1276;2322;1119;2233;6446;3189;3152;29;116;105;294;736;127;70;1247;2206;1014;1939;5710;3062;3082;662;1168;592;1145;3255;1554;1420;12;67;58;150;378;60;29;650;1101;534;995;2877;1494;1391;614;1154;527;1088;3191;1635;1732;17;49;47;144;358;67;41;597;1105;480;944;2833;1568;1691
0418 Nord-Odal;418;Nord-Odal;282;582;241;479;1631;930;973;0;15;17;18;108;21;11;282;567;224;461;1523;909;962;137;299;122;257;860;463;452;0;6;7;12;59;8;3;137;293;115;245;801;455;449;145;283;119;222;771;467;521;0;9;10;6;49;13;8;145;274;109;216;722;454;513
0419 Sør-Odal;419;Sør-Odal;468;870;409;824;2672;1328;1276;13;33;20;54;228;44;25;455;837;389;770;2444;1284;1251;243;435;204;428;1339;681;592;9;20;10;27;96;22;10;234;415;194;401;1243;659;582;225;435;205;396;1333;647;684;4;13;10;27;132;22;15;221;422;195;369;1201;625;669
0420 Eidskog;420;Eidskog;295;709;343;618;1978;1118;1192;6;29;12;48;187;68;37;289;680;331;570;1791;1050;1155;145;357;182;324;1012;569;515;3;14;7;20;79;27;14;142;343;175;304;933;542;501;150;352;161;294;966;549;677;3;15;5;28;108;41;23;147;337;156;266;858;508;654
0423 Grue;423;Grue;205;527;256;471;1446;963;1080;3;27;26;46;130;52;25;202;500;230;425;1316;911;1055;105;270;131;261;723;480;477;0;18;18;27;56;29;8;105;252;113;234;667;451;469;100;257;125;210;723;483;603;3;9;8;19;74;23;17;97;248;117;191;649;460;586
0425 Åsnes;425;Åsnes;347;775;366;746;2331;1329;1650;12;41;19;71;207;63;37;335;734;347;675;2124;1266;1613;178;397;172;394;1198;663;787;8;23;6;34;102;38;15;170;374;166;360;1096;625;772;169;378;194;352;1133;666;863;4;18;13;37;105;25;22;165;360;181;315;1028;641;841
0426 Våler;426;Våler (Hedm.);179;365;155;380;1209;695;800;3;15;6;36;114;23;12;176;350;149;344;1095;672;788;84;203;84;206;623;340;377;3;6;3;16;60;9;5;81;197;81;190;563;331;372;95;162;71;174;586;355;423;0;9;3;20;54;14;7;95;153;68;154;532;341;416
0427 Elverum;427;Elverum;1368;2461;1072;2558;6700;3146;3258;54;166;96;311;727;155;93;1314;2295;976;2247;5973;2991;3165;713;1248;576;1242;3334;1524;1418;22;83;53;150;345;77;43;691;1165;523;1092;2989;1447;1375;655;1213;496;1316;3366;1622;1840;32;83;43;161;382;78;50;623;1130;453;1155;2984;1544;1790
0428 Trysil;428;Trysil;339;692;320;703;2107;1094;1366;12;43;19;100;283;58;29;327;649;301;603;1824;1036;1337;162;361;172;371;1089;544;651;7;23;12;50;151;24;14;155;338;160;321;938;520;637;177;331;148;332;1018;550;715;5;20;7;50;132;34;15;172;311;141;282;886;516;700
0429 Åmot;429;Åmot;287;527;205;593;1385;691;767;8;27;20;48;144;25;14;279;500;185;545;1241;666;753;144;285;112;321;741;337;354;4;15;12;19;73;13;4;140;270;100;302;668;324;350;143;242;93;272;644;354;413;4;12;8;29;71;12;10;139;230;85;243;573;342;403
0430 Stor-Elvdal;430;Stor-Elvdal;129;244;120;361;819;480;546;7;30;17;132;131;22;20;122;214;103;229;688;458;526;56;124;64;218;454;254;265;3;12;9;95;85;12;12;53;112;55;123;369;242;253;73;120;56;143;365;226;281;4;18;8;37;46;10;8;69;102;48;106;319;216;273
0432 Rendalen;432;Rendalen;85;186;87;155;523;381;466;3;10;0;11;37;13;4;82;176;87;144;486;368;462;43;91;48;81;259;210;227;3;5;0;6;13;6;1;40;86;48;75;246;204;226;42;95;39;74;264;171;239;0;5;0;5;24;7;3;42;90;39;69;240;164;236
0434 Engerdal;434;Engerdal;56;154;60;132;394;230;319;3;12;2;18;40;16;16;53;142;58;114;354;214;303;33;80;37;67;199;115;142;3;3;3;5;13;6;6;30;77;34;62;186;109;136;23;74;23;65;195;115;177;0;9;0;13;27;10;10;23;65;23;52;168;105;167
0436 Tolga;436;Tolga;100;209;102;205;479;268;295;2;37;9;23;73;13;10;98;172;93;182;406;255;285;53;114;56;113;247;137;131;0;25;6;8;37;7;4;53;89;50;105;210;130;127;47;95;46;92;232;131;164;2;12;3;15;36;6;6;45;83;43;77;196;125;158
0437 Tynset;437;Tynset;382;709;328;642;1649;942;897;10;46;46;92;237;37;18;372;663;282;550;1412;905;879;194;348;165;326;823;497;398;6;24;28;49;127;22;4;188;324;137;277;696;475;394;188;361;163;316;826;445;499;4;22;18;43;110;15;14;184;339;145;273;716;430;485
0438 Alvdal;438;Alvdal;184;324;122;278;752;360;412;4;15;4;24;67;7;4;180;309;118;254;685;353;408;101;173;60;141;371;193;178;4;9;0;8;29;4;4;97;164;60;133;342;189;174;83;151;62;137;381;167;234;0;6;4;16;38;3;0;83;145;58;121;343;164;234
0439 Folldal;439;Folldal;104;191;84;133;488;284;347;6;12;3;6;38;4;4;98;179;81;127;450;280;343;52;107;48;85;244;146;165;3;5;3;3;11;4;0;49;102;45;82;233;142;165;52;84;36;48;244;138;182;3;7;0;3;27;0;4;49;77;36;45;217;138;178
0441 Os;441;Os (Hedm.);97;242;141;214;631;313;375;6;14;16;23;84;14;5;91;228;125;191;547;299;370;42;136;69;117;322;169;173;3;9;8;14;44;9;0;39;127;61;103;278;160;173;55;106;72;97;309;144;202;3;5;8;9;40;5;5;52;101;64;88;269;139;197
0501 Lillehammer;501;Lillehammer;1664;3094;1361;3813;8565;4094;4437;47;194;142;478;1183;239;173;1617;2900;1219;3335;7382;3855;4264;882;1576;715;1890;4217;1977;1902;23;85;77;217;620;119;62;859;1491;638;1673;3597;1858;1840;782;1518;646;1923;4348;2117;2535;24;109;65;261;563;120;111;758;1409;581;1662;3785;1997;2424
0502 Gjøvik;502;Gjøvik;1909;3387;1479;3841;9805;4522;4725;45;229;139;646;1491;278;135;1864;3158;1340;3195;8314;4244;4590;971;1779;761;1990;4978;2230;2028;18;126;71;333;775;142;54;953;1653;690;1657;4203;2088;1974;938;1608;718;1851;4827;2292;2697;27;103;68;313;716;136;81;911;1505;650;1538;4111;2156;2616
0511 Dovre;511;Dovre;136;308;130;306;790;487;547;7;29;8;46;96;19;6;129;279;122;260;694;468;541;67;164;62;182;403;233;243;4;13;4;26;45;6;3;63;151;58;156;358;227;240;69;144;68;124;387;254;304;3;16;4;20;51;13;3;66;128;64;104;336;241;301
0512 Lesja;512;Lesja;110;264;108;225;604;363;402;0;9;4;20;70;12;9;110;255;104;205;534;351;393;46;150;52;120;307;198;185;0;4;2;9;40;6;3;46;146;50;111;267;192;182;64;114;56;105;297;165;217;0;5;2;11;30;6;6;64;109;54;94;267;159;211
0513 Skjåk;513;Skjåk;111;265;107;218;708;396;459;6;7;5;21;85;10;3;105;258;102;197;623;386;456;52;131;51;122;377;206;209;2;4;4;16;53;6;0;50;127;47;106;324;200;209;59;134;56;96;331;190;250;4;3;1;5;32;4;3;55;131;55;91;299;186;247
0514 Lom;514;Lom;129;266;124;253;746;402;441;3;11;5;16;56;8;5;126;255;119;237;690;394;436;63;144;59;148;380;212;212;3;7;4;6;28;4;4;60;137;55;142;352;208;208;66;122;65;105;366;190;229;0;4;1;10;28;4;1;66;118;64;95;338;186;228
0515 Vågå;515;Vågå;229;421;190;367;1129;617;733;3;16;9;29;73;12;6;226;405;181;338;1056;605;727;126;214;97;187;584;308;338;0;5;3;13;31;6;3;126;209;94;174;553;302;335;103;207;93;180;545;309;395;3;11;6;16;42;6;3;100;196;87;164;503;303;392
0516 Nord-Fron;516;Nord-Fron;336;683;274;602;1830;962;1078;10;38;18;55;150;22;15;326;645;256;547;1680;940;1063;168;366;151;303;932;487;491;4;23;9;25;79;11;6;164;343;142;278;853;476;485;168;317;123;299;898;475;587;6;15;9;30;71;11;9;162;302;114;269;827;464;578
0517 Sel;517;Sel;323;686;332;633;1878;1008;1114;12;31;14;89;161;12;9;311;655;318;544;1717;996;1105;168;347;183;329;967;513;510;7;14;10;46;92;7;5;161;333;173;283;875;506;505;155;339;149;304;911;495;604;5;17;4;43;69;5;4;150;322;145;261;842;490;600
0519 Sør-Fron;519;Sør-Fron;210;378;146;349;1000;516;592;6;14;4;46;106;17;12;204;364;142;303;894;499;580;109;186;90;181;514;270;269;3;10;4;22;63;10;5;106;176;86;159;451;260;264;101;192;56;168;486;246;323;3;4;0;24;43;7;7;98;188;56;144;443;239;316
0520 Ringebu;520;Ringebu;259;483;227;495;1450;713;868;9;46;10;77;211;22;12;250;437;217;418;1239;691;856;127;243;111;257;772;355;392;6;22;7;43;128;13;3;121;221;104;214;644;342;389;132;240;116;238;678;358;476;3;24;3;34;83;9;9;129;216;113;204;595;349;467
0521 Øyer;521;Øyer;283;586;317;626;1665;814;799;11;48;19;122;248;57;17;272;538;298;504;1417;757;782;135;293;164;347;874;429;366;6;26;9;70;146;33;7;129;267;155;277;728;396;359;148;293;153;279;791;385;433;5;22;10;52;102;24;10;143;271;143;227;689;361;423
0522 Gausdal;522;Gausdal;384;708;336;654;2049;948;1158;7;29;17;61;166;32;14;377;679;319;593;1883;916;1144;198;380;181;352;1047;490;537;4;19;11;36;85;18;3;194;361;170;316;962;472;534;186;328;155;302;1002;458;621;3;10;6;25;81;14;11;183;318;149;277;921;444;610
0528 Østre Toten;528;Østre Toten;883;1678;769;1571;4903;2385;2588;31;95;27;193;532;98;49;852;1583;742;1378;4371;2287;2539;458;851;406;831;2486;1242;1147;16;49;15;92;292;55;16;442;802;391;739;2194;1187;1131;425;827;363;740;2417;1143;1441;15;46;12;101;240;43;33;410;781;351;639;2177;1100;1408
0529 Vestre Toten;529;Vestre Toten;815;1521;655;1415;4415;2087;2167;17;72;46;153;433;62;43;798;1449;609;1262;3982;2025;2124;407;773;359;735;2287;1037;980;5;40;26;85;208;37;17;402;733;333;650;2079;1000;963;408;748;296;680;2128;1050;1187;12;32;20;68;225;25;26;396;716;276;612;1903;1025;1161
0532 Jevnaker;532;Jevnaker;428;788;340;725;2205;968;1062;4;37;16;83;237;50;37;424;751;324;642;1968;918;1025;209;395;172;391;1103;472;484;4;18;10;52;119;23;21;205;377;162;339;984;449;463;219;393;168;334;1102;496;578;0;19;6;31;118;27;16;219;374;162;303;984;469;562
0533 Lunner;533;Lunner;621;1132;494;957;3140;1431;1177;17;68;46;109;375;67;35;604;1064;448;848;2765;1364;1142;328;562;267;473;1596;727;540;8;34;28;49;188;41;14;320;528;239;424;1408;686;526;293;570;227;484;1544;704;637;9;34;18;60;187;26;21;284;536;209;424;1357;678;616
0534 Gran;534;Gran;841;1678;685;1501;4532;2143;2227;18;108;43;223;502;72;34;823;1570;642;1278;4030;2071;2193;415;856;338;764;2319;1131;937;5;63;24;100;279;52;13;410;793;314;664;2040;1079;924;426;822;347;737;2213;1012;1290;13;45;19;123;223;20;21;413;777;328;614;1990;992;1269
0536 Søndre Land;536;Søndre Land;301;632;317;590;1866;997;998;11;34;24;65;170;32;28;290;598;293;525;1696;965;970;157;329;173;315;965;545;427;8;19;13;40;85;19;8;149;310;160;275;880;526;419;144;303;144;275;901;452;571;3;15;11;25;85;13;20;141;288;133;250;816;439;551
0538 Nordre Land;538;Nordre Land;387;733;362;725;2142;1101;1250;9;47;23;56;173;21;17;378;686;339;669;1969;1080;1233;186;349;195;385;1099;547;553;6;22;13;27;97;13;8;180;327;182;358;1002;534;545;201;384;167;340;1043;554;697;3;25;10;29;76;8;9;198;359;157;311;967;546;688
0540 Sør-Aurdal;540;Sør-Aurdal;180;373;175;315;963;501;626;9;23;3;32;79;24;12;171;350;172;283;884;477;614;106;189;102;158;519;262;282;6;12;3;17;45;11;9;100;177;99;141;474;251;273;74;184;73;157;444;239;344;3;11;0;15;34;13;3;71;173;73;142;410;226;341
0541 Etnedal;541;Etnedal;76;158;63;157;455;208;291;0;8;5;56;76;13;4;76;150;58;101;379;195;287;38;83;34;100;254;105;141;0;2;4;43;56;7;2;38;81;30;57;198;98;139;38;75;29;57;201;103;150;0;6;1;13;20;6;2;38;69;28;44;181;97;148
0542 Nord-Aurdal;542;Nord-Aurdal;365;737;313;724;2072;1130;1076;14;55;22;99;275;57;23;351;682;291;625;1797;1073;1053;204;358;171;358;1070;557;478;8;28;16;44;151;33;10;196;330;155;314;919;524;468;161;379;142;366;1002;573;598;6;27;6;55;124;24;13;155;352;136;311;878;549;585
0543 Vestre Slidre;543;Vestre Slidre;132;256;107;216;710;390;376;5;18;4;32;69;12;4;127;238;103;184;641;378;372;68;132;52;116;364;200;172;5;12;4;14;33;8;0;63;120;48;102;331;192;172;64;124;55;100;346;190;204;0;6;0;18;36;4;4;64;118;55;82;310;186;200
0544 Øystre Slidre;544;Øystre Slidre;190;370;150;384;1042;512;558;3;12;4;42;137;29;11;187;358;146;342;905;483;547;103;194;69;211;512;255;256;0;4;0;23;62;17;6;103;190;69;188;450;238;250;87;176;81;173;530;257;302;3;8;4;19;75;12;5;84;168;77;154;455;245;297
0545 Vang;545;Vang;92;172;78;205;490;272;293;5;21;9;47;108;11;10;87;151;69;158;382;261;283;38;94;33;117;266;141;140;0;12;4;30;65;5;4;38;82;29;87;201;136;136;54;78;45;88;224;131;153;5;9;5;17;43;6;6;49;69;40;71;181;125;147
0602 Drammen;602;Drammen;4844;7649;3082;8990;23196;8905;9548;213;779;520;2572;7181;1186;695;4631;6870;2562;6418;16015;7719;8853;2485;3919;1538;4525;11955;4298;4052;108;392;285;1282;3821;612;316;2377;3527;1253;3243;8134;3686;3736;2359;3730;1544;4465;11241;4607;5496;105;387;235;1290;3360;574;379;2254;3343;1309;3175;7881;4033;5117
0604 Kongsberg;604;Kongsberg;1920;3111;1277;3324;9159;3844;3771;126;281;121;707;1817;246;159;1794;2830;1156;2617;7342;3598;3612;986;1614;661;1801;4731;1917;1702;63;144;63;368;921;134;52;923;1470;598;1433;3810;1783;1650;934;1497;616;1523;4428;1927;2069;63;137;58;339;896;112;107;871;1360;558;1184;3532;1815;1962
0605 Ringerike;605;Ringerike;1849;3195;1470;3575;9995;4814;4726;55;259;124;523;1593;282;171;1794;2936;1346;3052;8402;4532;4555;947;1674;760;1876;5020;2442;2074;26;136;66;258;802;152;65;921;1538;694;1618;4218;2290;2009;902;1521;710;1699;4975;2372;2652;29;123;58;265;791;130;106;873;1398;652;1434;4184;2242;2546
0612 Hole;612;Hole;514;818;329;654;2407;990;883;13;62;29;165;453;78;34;501;756;300;489;1954;912;849;268;426;178;330;1235;497;414;5;30;20;86;250;45;15;263;396;158;244;985;452;399;246;392;151;324;1172;493;469;8;32;9;79;203;33;19;238;360;142;245;969;460;450
0615 Flå;615;Flå;46;109;53;109;309;187;220;0;12;6;18;38;11;4;46;97;47;91;271;176;216;26;59;27;57;165;100;101;0;9;3;10;20;3;0;26;50;24;47;145;97;101;20;50;26;52;144;87;119;0;3;3;8;18;8;3;20;47;23;44;126;79;116
0616 Nes;616;Nes (Busk.);170;398;178;398;1074;598;629;6;46;14;79;182;31;12;164;352;164;319;892;567;617;77;216;98;192;560;285;288;3;29;7;31;97;12;4;74;187;91;161;463;273;284;93;182;80;206;514;313;341;3;17;7;48;85;19;8;90;165;73;158;429;294;333
0617 Gol;617;Gol;273;574;218;521;1548;691;806;15;72;18;126;334;57;25;258;502;200;395;1214;634;781;130;293;106;261;788;343;370;5;36;7;58;177;26;12;125;257;99;203;611;317;358;143;281;112;260;760;348;436;10;36;11;68;157;31;13;133;245;101;192;603;317;423
0618 Hemsedal;618;Hemsedal;172;285;119;273;884;272;290;12;36;8;99;235;20;11;160;249;111;174;649;252;279;92;151;65;130;465;149;127;9;18;4;45;136;12;4;83;133;61;85;329;137;123;80;134;54;143;419;123;163;3;18;4;54;99;8;7;77;116;50;89;320;115;156
0619 Ål;619;Ål;284;616;263;523;1439;771;817;15;54;28;77;207;27;16;269;562;235;446;1232;744;801;151;293;131;280;742;394;356;11;26;8;41;114;16;8;140;267;123;239;628;378;348;133;323;132;243;697;377;461;4;28;20;36;93;11;8;129;295;112;207;604;366;453
0620 Hol;620;Hol;216;478;196;562;1459;754;787;20;38;21;143;333;53;32;196;440;175;419;1126;701;755;119;255;97;304;743;368;375;13;26;14;67;181;23;15;106;229;83;237;562;345;360;97;223;99;258;716;386;412;7;12;7;76;152;30;17;90;211;92;182;564;356;395
0621 Sigdal;621;Sigdal;195;429;181;337;1110;615;642;6;26;9;31;95;16;5;189;403;172;306;1015;599;637;93;234;90;167;568;330;264;3;12;3;14;50;7;0;90;222;87;153;518;323;264;102;195;91;170;542;285;378;3;14;6;17;45;9;5;99;181;85;153;497;276;373
0622 Krødsherad;622;Krødsherad;152;242;74;288;746;406;357;8;15;4;55;135;17;6;144;227;70;233;611;389;351;86;116;27;141;388;214;147;5;9;0;24;84;11;3;81;107;27;117;304;203;144;66;126;47;147;358;192;210;3;6;3;31;51;6;3;63;120;44;116;307;186;207
0623 Modum;623;Modum;915;1536;641;1524;4611;2218;2136;27;120;51;163;588;104;75;888;1416;590;1361;4023;2114;2061;466;795;349;775;2365;1119;924;13;61;32;79;303;59;29;453;734;317;696;2062;1060;895;449;741;292;749;2246;1099;1212;14;59;19;84;285;45;46;435;682;273;665;1961;1054;1166
0624 Øvre Eiker;624;Øvre Eiker;1267;2217;908;2227;6225;2586;2489;45;191;80;341;1057;144;82;1222;2026;828;1886;5168;2442;2407;668;1134;490;1144;3229;1317;1128;25;95;37;172;608;83;40;643;1039;453;972;2621;1234;1088;599;1083;418;1083;2996;1269;1361;20;96;43;169;449;61;42;579;987;375;914;2547;1208;1319
0625 Nedre Eiker;625;Nedre Eiker;1775;3195;1306;2737;8649;3205;2944;49;252;131;504;1934;292;171;1726;2943;1175;2233;6715;2913;2773;922;1602;664;1412;4419;1554;1318;23;118;68;251;1034;153;80;899;1484;596;1161;3385;1401;1238;853;1593;642;1325;4230;1651;1626;26;134;63;253;900;139;91;827;1459;579;1072;3330;1512;1535
0626 Lier;626;Lier;1920;3317;1364;2691;9117;3501;3265;77;229;123;608;2134;356;182;1843;3088;1241;2083;6983;3145;3083;1006;1718;719;1401;4663;1766;1512;35;128;68;314;1198;193;81;971;1590;651;1087;3465;1573;1431;914;1599;645;1290;4454;1735;1753;42;101;55;294;936;163;101;872;1498;590;996;3518;1572;1652
0627 Røyken;627;Røyken;1589;2881;1151;2113;7700;2776;2411;62;194;56;357;1371;241;128;1527;2687;1095;1756;6329;2535;2283;837;1485;608;1050;3908;1429;1113;27;100;29;170;739;132;57;810;1385;579;880;3169;1297;1056;752;1396;543;1063;3792;1347;1298;35;94;27;187;632;109;71;717;1302;516;876;3160;1238;1227
0628 Hurum;628;Hurum;591;1157;517;873;3168;1561;1463;25;85;39;150;500;89;67;566;1072;478;723;2668;1472;1396;297;586;276;469;1600;782;672;10;46;26;80;269;55;32;287;540;250;389;1331;727;640;294;571;241;404;1568;779;791;15;39;13;70;231;34;35;279;532;228;334;1337;745;756
0631 Flesberg;631;Flesberg;192;354;128;277;874;422;436;11;28;7;39;107;13;6;181;326;121;238;767;409;430;94;193;64;141;446;227;216;6;18;0;20;57;8;3;88;175;64;121;389;219;213;98;161;64;136;428;195;220;5;10;7;19;50;5;3;93;151;57;117;378;190;217
0632 Rollag;632;Rollag;64;156;75;125;397;261;291;3;8;5;12;44;10;3;61;148;70;113;353;251;288;39;82;35;58;200;134;132;3;3;3;4;22;6;2;36;79;32;54;178;128;130;25;74;40;67;197;127;159;0;5;2;8;22;4;1;25;69;38;59;175;123;158
0633 Nore og Uvdal;633;Nore og Uvdal;127;300;155;254;803;418;500;9;25;13;27;117;9;6;118;275;142;227;686;409;494;66;162;96;144;423;219;221;5;14;10;20;63;5;3;61;148;86;124;360;214;218;61;138;59;110;380;199;279;4;11;3;7;54;4;3;57;127;56;103;326;195;276
0701 Horten;701;Horten;1782;3209;1447;3260;8951;3942;4160;47;223;141;573;1517;309;243;1735;2986;1306;2687;7434;3633;3917;935;1625;746;1734;4535;1914;1827;23;118;81;299;734;153;96;912;1507;665;1435;3801;1761;1731;847;1584;701;1526;4416;2028;2333;24;105;60;274;783;156;147;823;1479;641;1252;3633;1872;2186
0702 Holmestrand;702;Holmestrand;680;1203;526;1129;3579;1695;1644;14;67;41;113;478;84;76;666;1136;485;1016;3101;1611;1568;356;622;269;568;1820;821;744;6;36;22;50;240;38;27;350;586;247;518;1580;783;717;324;581;257;561;1759;874;900;8;31;19;63;238;46;49;316;550;238;498;1521;828;851
0704 Tønsberg;704;Tønsberg;2838;4767;2098;5572;14199;5913;6163;65;281;163;968;2301;439;279;2773;4486;1935;4604;11898;5474;5884;1445;2489;1075;2787;7214;2884;2620;35;152;95;475;1275;228;120;1410;2337;980;2312;5939;2656;2500;1393;2278;1023;2785;6985;3029;3543;30;129;68;493;1026;211;159;1363;2149;955;2292;5959;2818;3384
0706 Sandefjord;706;Sandefjord;2958;5613;2503;5129;15171;6658;6944;87;420;217;998;2889;489;372;2871;5193;2286;4131;12282;6169;6572;1480;2897;1327;2611;7579;3291;3000;47;223;125;503;1454;253;152;1433;2674;1202;2108;6125;3038;2848;1478;2716;1176;2518;7592;3367;3944;40;197;92;495;1435;236;220;1438;2519;1084;2023;6157;3131;3724
0709 Larvik;709;Larvik;2862;4999;2332;4866;14235;7033;6931;82;354;201;730;2208;386;284;2780;4645;2131;4136;12027;6647;6647;1480;2537;1294;2555;7105;3453;3076;45;201;118;366;1131;185;129;1435;2336;1176;2189;5974;3268;2947;1382;2462;1038;2311;7130;3580;3855;37;153;83;364;1077;201;155;1345;2309;955;1947;6053;3379;3700
0711 Svelvik;711;Svelvik;385;798;340;734;2276;1041;1006;11;47;18;90;334;75;47;374;751;322;644;1942;966;959;195;410;179;387;1157;509;456;3;17;9;47;171;35;28;192;393;170;340;986;474;428;190;388;161;347;1119;532;550;8;30;9;43;163;40;19;182;358;152;304;956;492;531
0713 Sande;713;Sande (Vestf.);663;1213;502;1009;3111;1313;1225;14;70;27;137;442;76;61;649;1143;475;872;2669;1237;1164;339;634;251;519;1572;662;544;8;35;13;67;257;42;25;331;599;238;452;1315;620;519;324;579;251;490;1539;651;681;6;35;14;70;185;34;36;318;544;237;420;1354;617;645
0714 Hof;714;Hof;192;427;171;281;1101;481;438;2;12;7;34;116;22;11;190;415;164;247;985;459;427;101;223;88;147;559;250;198;0;3;4;18;59;10;6;101;220;84;129;500;240;192;91;204;83;134;542;231;240;2;9;3;16;57;12;5;89;195;80;118;485;219;235
0716 Re;716;Re (f.o.m. 2002);680;1230;532;1052;3240;1277;1133;14;69;40;118;432;55;36;666;1161;492;934;2808;1222;1097;356;653;274;531;1694;633;552;9;42;17;54;237;29;23;347;611;257;477;1457;604;529;324;577;258;521;1546;644;581;5;27;23;64;195;26;13;319;550;235;457;1351;618;568
0719 Andebu;719;Andebu;430;722;298;720;2066;770;713;11;44;20;77;272;40;21;419;678;278;643;1794;730;692;233;374;147;375;1086;403;305;7;17;11;37;137;18;11;226;357;136;338;949;385;294;197;348;151;345;980;367;408;4;27;9;40;135;22;10;193;321;142;305;845;345;398
0720 Stokke;720;Stokke;827;1441;674;1471;4049;1668;1379;37;111;94;324;605;98;56;790;1330;580;1147;3444;1570;1323;464;736;326;752;2086;829;630;21;61;45;178;310;51;19;443;675;281;574;1776;778;611;363;705;348;719;1963;839;749;16;50;49;146;295;47;37;347;655;299;573;1668;792;712
0722 Nøtterøy;722;Nøtterøy;1433;2749;1197;2288;7038;3283;3415;31;153;96;309;978;193;188;1402;2596;1101;1979;6060;3090;3227;735;1406;593;1141;3400;1647;1477;16;79;52;130;487;95;74;719;1327;541;1011;2913;1552;1403;698;1343;604;1147;3638;1636;1938;15;74;44;179;491;98;114;683;1269;560;968;3147;1538;1824
0723 Tjøme;723;Tjøme;259;523;275;536;1591;922;821;16;49;18;85;222;39;40;243;474;257;451;1369;883;781;145;278;139;275;785;470;374;13;21;7;38;107;20;14;132;257;132;237;678;450;360;114;245;136;261;806;452;447;3;28;11;47;115;19;26;111;217;125;214;691;433;421
0728 Lardal;728;Lardal;169;293;117;234;849;415;383;7;13;6;30;80;10;6;162;280;111;204;769;405;377;101;161;65;123;434;229;157;4;8;3;16;42;7;0;97;153;62;107;392;222;157;68;132;52;111;415;186;226;3;5;3;14;38;3;6;65;127;49;97;377;183;220
0805 Porsgrunn;805;Porsgrunn;2220;4155;1874;4425;11995;5390;5457;56;227;141;651;1700;335;244;2164;3928;1733;3774;10295;5055;5213;1134;2073;925;2348;6096;2669;2371;23;109;82;364;900;176;99;1111;1964;843;1984;5196;2493;2272;1086;2082;949;2077;5899;2721;3086;33;118;59;287;800;159;145;1053;1964;890;1790;5099;2562;2941
0806 Skien;806;Skien;3658;6252;2922;6756;17746;8079;8026;99;512;352;1225;2997;592;345;3559;5740;2570;5531;14749;7487;7681;1885;3223;1513;3422;8914;3981;3431;46;244;185;643;1486;317;154;1839;2979;1328;2779;7428;3664;3277;1773;3029;1409;3334;8832;4098;4595;53;268;167;582;1511;275;191;1720;2761;1242;2752;7321;3823;4404
0807 Notodden;807;Notodden;809;1436;622;1545;4017;1946;2234;22;92;53;215;525;82;59;787;1344;569;1330;3492;1864;2175;427;752;340;772;2060;997;949;9;40;29;96;286;58;22;418;712;311;676;1774;939;927;382;684;282;773;1957;949;1285;13;52;24;119;239;24;37;369;632;258;654;1718;925;1248
