fylke;fylke_nr;fylke_navn;bosetting.bosatt_per_1000
Nedbrytninger;;;enhet.promille
00 Hele landet;0;Hele landet;1,14
01 Østfold;1;Østfold;0,7
02 Akershus;2;Akershus;0,75
03 Oslo;3;Oslo;0,74
04 Hedmark;4;Hedmark;0,97
05 Oppland;5;Oppland;1,59
06 Buskerud;6;Buskerud;1,32
07 Vestfold;7;Vestfold;0,8
08 Telemark;8;Telemark;1,98
09 Aust-Agder;9;Aust-Agder;1,55
10 Vest-Agder;10;Vest-Agder;1,6
11 Rogaland;11;Rogaland;1,01
12 Hordaland;12;Hordaland;0,93
14 Sogn og Fjordane;14;Sogn og Fjordane;1
15 Møre og Romsdal;15;Møte og Romsdal;1,09
16 Sør-Trøndelag;16;Sør-Trøndelag;1,12
17 Nord-Trøndelag;17;Nord-Trøndelag;1,96
18 Nordland;18;Nordland;1,96
19 Troms Romsa;19;Troms Romsa;1,83
20 Finnmark Finnmárku;20;Finnmark Finnmárku;2,28
99 Uoppgitt fylke;99;Uoppgitt fylke;.
