kommune;kommune_nr;kommune_navn;bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;;;;;;;;
0521 Øyer;521;Øyer;20;100;12;60;15;75,00;;;;;;;;
0522 Gausdal;522;Gausdal;10;100;5;50;5;50,00;;;;;;;;
0528 Østre Toten;528;Østre Toten;20;100;15;75;15;75,00;;;;;;;;
0529 Vestre Toten;529;Vestre Toten;20;100;21;105;15;75,00;;;;;;;;
0532 Jevnaker;532;Jevnaker;10;100;7;70;10;100,00;;;;;;;;
0533 Lunner;533;Lunner;35;100;30;85,71428571;30;85,71;;;;;;;;
0534 Gran;534;Gran;33;100;35;106,0606061;33;100,00;;;;;;;;
0536 Søndre Land;536;Søndre Land;10;100;7;70;10;100,00;;;;;;;;
0538 Nordre Land;538;Nordre Land;20;100;15;75;15;75,00;;;;;;;;
0540 Sør-Aurdal;540;Sør-Aurdal;10;100;9;90;8;80,00;;;;;;;;
0541 Etnedal;541;Etnedal;10;100;6;60;5;50,00;;;;;;;;
0542 Nord-Aurdal;542;Nord-Aurdal;15;100;10;66,66666667;10;66,67;;;;;;;;
0543 Vestre Slidre;543;Vestre Slidre;10;100;0;0;0;0,00;;;;;;;;
0544 Øystre Slidre;544;Øystre Slidre;10;100;2;20;5;50,00;;;;;;;;
0545 Vang;545;Vang;2;100;1;50;2;100,00;;;;;;;;
0602 Drammen;602;Drammen;130;100;115;88,46153846;130;100,00;;;;;;;;
0604 Kongsberg;604;Kongsberg;43;100;32;74,41860465;35;81,40;;;;;;;;
0605 Ringerike;605;Ringerike;40;100;23;57,5;30;75,00;;;;;;;;
0612 Hole;612;Hole;14;100;10;71,42857143;9;64,29;;;;;;;;
0615 Flå;615;Flå;0;.;0;.;.;.;;;;;;;;
0616 Nes (Busk.);616;Nes (Busk.);14;100;7;50;5;35,71;;;;;;;;
0617 Gol;617;Gol;14;100;11;78,57142857;10;71,43;;;;;;;;
0618 Hemsedal;618;Hemsedal;14;100;6;42,85714286;7;50,00;;;;;;;;
0619 Ål;619;Ål;14;100;7;50;10;71,43;;;;;;;;
0620 Hol;620;Hol;14;100;1;7,142857143;5;35,71;;;;;;;;
0621 Sigdal;621;Sigdal;10;100;8;80;5;50,00;;;;;;;;
0622 Krødsherad;622;Krødsherad;10;100;0;0;5;50,00;;;;;;;;
0623 Modum;623;Modum;20;100;20;100;20;100,00;;;;;;;;
0624 Øvre Eiker;624;Øvre Eiker;26;100;22;84,61538462;20;76,92;;;;;;;;
0625 Nedre Eiker;625;Nedre Eiker;26;100;21;80,76923077;15;57,69;;;;;;;;
0626 Lier;626;Lier;26;100;20;76,92307692;20;76,92;;;;;;;;
0627 Røyken;627;Røyken;26;100;13;50;20;76,92;;;;;;;;
0628 Hurum;628;Hurum;26;100;20;76,92307692;20;76,92;;;;;;;;
0631 Flesberg;631;Flesberg;14;100;16;114,2857143;10;71,43;;;;;;;;
0632 Rollag;632;Rollag;20;100;7;35;8;40,00;;;;;;;;
0633 Nore og Uvdal;633;Nore og Uvdal;14;100;7;50;6;42,86;;;;;;;;
0701 Horten;701;Horten;35;100;39;111,4285714;45;128,57;;;;;;;;
0702 Holmestrand;702;Holmestrand;15;100;7;46,66666667;8;53,33;;;;;;;;
0704 Tønsberg;704;Tønsberg;45;100;22;48,88888889;30;66,67;;;;;;;;
0706 Sandefjord;706;Sandefjord;45;100;30;66,66666667;30;66,67;;;;;;;;
0709 Larvik;709;Larvik;45;100;30;66,66666667;40;88,89;;;;;;;;
0711 Svelvik;711;Svelvik;15;100;0;0;5;33,33;;;;;;;;
0713 Sande (Vestf.);713;Sande (Vestf.);15;100;8;53,33333333;.;.;;;;;;;;
0714 Hof;714;Hof;15;100;3;20;5;33,33;;;;;;;;
0716 Re;716;Re (f.o.m. 2002);20;100;10;50;10;50,00;;;;;;;;
0719 Andebu;719;Andebu;15;100;3;20;0;0,00;;;;;;;;
0720 Stokke;720;Stokke;20;100;17;85;20;100,00;;;;;;;;
0722 Nøtterøy;722;Nøtterøy;25;100;15;60;20;80,00;;;;;;;;
0723 Tjøme;723;Tjøme;15;100;7;46,66666667;8;53,33;;;;;;;;
0728 Lardal;728;Lardal;15;100;1;6,666666667;5;33,33;;;;;;;;
0805 Porsgrunn;805;Porsgrunn;75;100;47;62,66666667;55;73,33;;;;;;;;
0806 Skien;806;Skien;110;100;62;56,36363636;85;77,27;;;;;;;;
0807 Notodden;807;Notodden;40;100;29;72,5;32;80,00;;;;;;;;
0811 Siljan;811;Siljan;15;100;11;73,33333333;10;66,67;;;;;;;;
0814 Bamble;814;Bamble;45;100;41;91,11111111;38;84,44;;;;;;;;
0815 Kragerø;815;Kragerø;45;100;40;88,88888889;35;77,78;;;;;;;;
0817 Drangedal;817;Drangedal;10;100;12;120;5;50,00;;;;;;;;
0819 Nome;819;Nome;15;100;10;66,66666667;10;66,67;;;;;;;;
0821 Bø (Telemark);821;Bø (Telem.);20;100;17;85;14;70,00;;;;;;;;
0822 Sauherad;822;Sauherad;20;100;14;70;15;75,00;;;;;;;;
0826 Tinn;826;Tinn;20;100;22;110;10;50,00;;;;;;;;
0827 Hjartdal;827;Hjartdal;10;100;7;70;8;80,00;;;;;;;;
0828 Seljord;828;Seljord;10;100;11;110;10;100,00;;;;;;;;
0829 Kviteseid;829;Kviteseid;0;.;0;.;.;.;;;;;;;;
0830 Nissedal;830;Nissedal;0;.;0;.;.;.;;;;;;;;
0831 Fyresdal;831;Fyresdal;10;100;5;50;10;100,00;;;;;;;;
0833 Tokke;833;Tokke;0;.;0;.;.;.;;;;;;;;
0834 Vinje;834;Vinje;10;100;0;0;10;100,00;;;;;;;;
0901 Risør;901;Risør;25;100;30;120;25;100,00;;;;;;;;
0904 Grimstad;904;Grimstad;40;100;37;92,5;30;75,00;;;;;;;;
0906 Arendal;906;Arendal;95;100;53;55,78947368;51;53,68;;;;;;;;
0911 Gjerstad;911;Gjerstad;15;100;14;93,33333333;10;66,67;;;;;;;;
0912 Vegårshei;912;Vegårshei;15;100;0;0;0;0,00;;;;;;;;
0914 Tvedestrand;914;Tvedestrand;25;100;6;24;6;24,00;;;;;;;;
0919 Froland;919;Froland;15;100;0;0;3;20,00;;;;;;;;
0926 Lillesand;926;Lillesand;30;100;11;36,66666667;20;66,67;;;;;;;;
0928 Birkenes;928;Birkenes;20;100;10;50;8;40,00;;;;;;;;
0929 Åmli;929;Åmli;15;100;5;33,33333333;10;66,67;;;;;;;;
0935 Iveland;935;Iveland;10;100;5;50;10;100,00;;;;;;;;
0937 Evje og Hornnes;937;Evje og Hornnes;15;100;8;53,33333333;10;66,67;;;;;;;;
0938 Bygland;938;Bygland;0;.;0;.;.;.;;;;;;;;
0940 Valle;940;Valle;15;100;9;60;9;60,00;;;;;;;;
0941 Bykle;941;Bykle;10;100;1;10;4;40,00;;;;;;;;
1001 Kristiansand;1001;Kristiansand;180;100;152;84,44444444;160;88,89;;;;;;;;
1002 Mandal;1002;Mandal;45;100;28;62,22222222;28;62,22;;;;;;;;
1003 Farsund;1003;Farsund;30;100;19;63,33333333;20;66,67;;;;;;;;
1004 Flekkefjord;1004;Flekkefjord;30;100;13;43,33333333;15;50,00;;;;;;;;
1014 Vennesla;1014;Vennesla;35;100;22;62,85714286;25;71,43;;;;;;;;
1017 Songdalen;1017;Songdalen;30;100;20;66,66666667;20;66,67;;;;;;;;
1018 Søgne;1018;Søgne;35;100;12;34,28571429;9;25,71;;;;;;;;
1021 Marnardal;1021;Marnardal;15;100;6;40;5;33,33;;;;;;;;
1026 Åseral;1026;Åseral;10;100;0;0;5;50,00;;;;;;;;
